Dhc	C5	n=5	m=5
SUWooYEOpBAEaEPBCOoaEAGYCOuCOrAGW	C20(2, 3, 8)	n=20	m=60
SUWooWE?sBGEGECB@?oGE?_Y@?u@?r?_W	C20(2, 3, 10)	n=20	m=50
SQIURGqEOX?q?q?XOEU?qWBGoESoEQWBG	C20(2, 5, 6)	n=20	m=60
SQIQPIQQPHAQaQPHCQSaQQHGcQScQQQHG	C20(2, 5, 8)	n=20	m=60
SQGSQGaCSPGaGaCPPCQGaGaGPCSPCQGaG	C20(2, 6, 10)	n=20	m=50
SQGOSJAWP`BAbAp`KWPbAEKGKWSKWQEKG	C20(2, 7, 8)	n=20	m=60
SQGOSHAGS`HAHAc`HGPHACcGHGSHGQCcG	C20(2, 7, 10)	n=20	m=50
SCrb`o[B_M?[?[?M?Bc?[o@r_Bb_B`o@o	C20(3, 4, 5)	n=20	m=60
SCp`_oK`aESKSKIEA`_SK`OrA`bA```Oo	C20(3, 4, 9)	n=20	m=60
SCp`_oK@cEGKGKCE@@_GK__r@@b@@`__o	C20(3, 4, 10)	n=20	m=50
SCQadPSI_i@S@S_iGId@SSDQgIagI`SDO	C20(3, 5, 7)	n=20	m=60
SCQa`OSaaISSSSIIAacSSPPQaaaaa`PPO	C20(3, 5, 9)	n=20	m=60
SCO_cRCW`aBCbCpaKW`bCEKQKWaKW`EKO	C20(3, 7, 8)	n=20	m=60
SCO_cPCgaaTCTCiaIg`TCDSQIgaIg`DSO	C20(3, 7, 9)	n=20	m=60
SCO__QCOdAICiCTADO_iCAgQDOaDO`AgO	C20(3, 8, 10)	n=20	m=50
SCO__OC_eA[C[CMAB__[C@oQB_aB_`@oO	C20(3, 9, 10)	n=20	m=50
S?bFB_wF?[?w?w?[OFE?wwB`oF@oF?wB_	C20(4, 5, 6)	n=20	m=60
S?bBD`WJ?k@W@W_kGJD@WsD`gJ@gJ?sD_	C20(4, 5, 7)	n=20	m=60
S?`DA_gdASSgSgISQdASghQ`Qd@Qd?hQ_	C20(4, 6, 9)	n=20	m=60
S?`@C`GHCcHGHGccHH@HGcc`HH@HH?cc_	C20(4, 7, 10)	n=20	m=50
S?`@?_G`EC[G[GMCB`?[G`o`B`@B`?`o_	C20(4, 9, 10)	n=20	m=50
S?AAD@OiAgTOTOigIiDTOTT?ii?ii?TT?	C20(5, 7, 9)	n=20	m=60
S?AA@AOqBGUOuOZGEqCuORX?eq?eq?RX?	C20(5, 8, 9)	n=20	m=60
S??CA?_cEO[_[_MORcA[_Hq?Rc?Rc?Hq?	C20(6, 9, 10)	n=20	m=50
S???CB?wB_V?v?z_Mw@v?F[?Mw?Mw?F[?	C20(7, 8, 9)	n=20	m=60
S???CB?WD_J?j?t_LW@j?Ek?LW?LW?Ek?	C20(7, 8, 10)	n=20	m=50
S???C@?gE_\?\?m_Jg@\?Ds?Jg?Jg?Ds?	C20(7, 9, 10)	n=20	m=50
S????A?oF?]?}?^?Fo?}?Bw?Fo?Fo?Bw?	C20(8, 9, 10)	n=20	m=50
SlUilTTIgi`T@T_igIl@TSDUgIigIlSDS	C20(1, 3, 5, 7)	n=20	m=80
SlUihSTaiIsTSTIIaakSTPPUaaiaalPPS	C20(1, 3, 5, 9)	n=20	m=80
SlSgkTDgiatDTDiaighTDDSUIgiIglDSS	C20(1, 3, 7, 9)	n=20	m=80
SlSggUDOlAiDiDTAdOgiDAgUDOiDOlAgS	C20(1, 3, 8, 10)	n=20	m=70
ShEILDPiIgtPTPigiiLTPTTCiiGiiKTTC	C20(1, 5, 7, 9)	n=20	m=80
SUWosZEWpbBEbEpbKWpbEEKYKWuKWrEKW	C20(2, 3, 7, 8)	n=20	m=80
SCp`_oK`eE[K[KMEB`_[K`orB`bB```oo	C20(3, 4, 9, 10)	n=20	m=70
SCQadPSiaiTSTSiiIidTSTTQiiaii`TTO	C20(3, 5, 7, 9)	n=20	m=80
S???CB?wF_^?~?~_Nw@~?F{?Nw?Nw?F{?	C20(7, 8, 9, 10)	n=20	m=70
ThCGGC@?G?_@?@??_?G?@??C??G??G??E??@	C21(1,)	n=21	m=21
TQGOOGA?O@?A?A?@??O?A??G??O??S??H??A	C21(2,)	n=21	m=21
TCO__OC?_A?C?C?A??_?C??O??c??a??O_?C	C21(3,)	n=21	m=21
T?`@?_G@?C?G?G?C?@??G??a?@A?@@??_O?G	C21(4,)	n=21	m=21
T?AA@?OA?G?O?O?G?A??O_@@?A@?A?_@?G?O	C21(5,)	n=21	m=21
T??CA?_C?O?_?_?O?CC?_OA?_C?_C?OA?C?_	C21(6,)	n=21	m=21
T????A?O@?A?A?`?GO@A?CG?GO?GO?CG?@A?	C21(8,)	n=21	m=21
T??????_A?C?c?Q?C_?c?AO?C_?C_?AO??c?	C21(9,)	n=21	m=21
T???????C?W?W?K?B??W?@_?B??B??@_??W?	C21(10,)	n=21	m=21
TlSggSD?gA_D?D?A_?g?D??S??k??i??U_?D	C21(1, 3)	n=21	m=42
ThdHGcH@GC_H?H?C_@G?H??e?@I?@H??eO?H	C21(1, 4)	n=21	m=42
ThEIHCPAGG_P?P?G_AG?P_@D?AH?AG_@EG?P	C21(1, 5)	n=21	m=42
ThCKIC`CGO_`?`?O_CK?`OAC_CG_CGOAEC?`	C21(1, 6)	n=21	m=42
ThCGGE@OH?a@A@`?gOHA@CGCGOGGOGCGE@A@	C21(1, 8)	n=21	m=42
ThCGGC@_I?c@c@Q?c_Gc@AOCC_GC_GAOE?c@	C21(1, 9)	n=21	m=42
TUWooWE?oB?E?E?B??o?E??W??s??u??X_?E	C21(2, 3)	n=21	m=42
TQIQPGQAOH?Q?Q?H?AO?Q_@H?AP?AS_@HG?Q	C21(2, 5)	n=21	m=42
TQGSQGaCOP?a?a?P?CS?aOAG_CO_CSOAHC?a	C21(2, 6)	n=21	m=42
TQGOOIAOP@AAAA`@GOPAACGGGOOGOSCGH@AA	C21(2, 8)	n=21	m=42
TQGOOGA_Q@CAcAQ@C_OcAAOGC_OC_SAOH?cA	C21(2, 9)	n=21	m=42
TQGOOGA?S@WAWAK@B?OWA@_GB?OB?S@_H?WA	C21(2, 10)	n=21	m=42
TCp`_oK@_E?K?K?E?@_?K??q?@e?@b??oo?K	C21(3, 4)	n=21	m=42
TCQa`OSA_I?S?S?I?A_?S_@P?Ad?Aa_@Og?S	C21(3, 5)	n=21	m=42
TCO__QCO`AACAC`AGO`ACCGOGOcGOaCGO`AC	C21(3, 8)	n=21	m=42
TCO__OC?cAWCWCKAB?_WC@_OB?cB?a@_O_WC	C21(3, 10)	n=21	m=42
T?bB@_WB?K?W?W?K?B??W_@b?BB?B@_@_W?W	C21(4, 5)	n=21	m=42
T?`DA_gD?S?g?g?S?DC?gOAa_DA_D@OA_S?g	C21(4, 6)	n=21	m=42
T?`@?_G`ACCGcGQCC`?cGAOaC`AC`@AO_OcG	C21(4, 9)	n=21	m=42
T?`@?_G@CCWGWGKCB@?WG@_aB@AB@@@__OWG	C21(4, 10)	n=21	m=42
T?AEB?oE?W?o?o?W?EC?ooB@_E@_E?oB?K?o	C21(5, 6)	n=21	m=42
T?AA@?OaAGCOcOQGCa?cOaP@Ca@Ca?aP?GcO	C21(5, 9)	n=21	m=42
T??CAA_S@OA_A_`OGSDA_SI?gS?gS?SI?DA_	C21(6, 8)	n=21	m=42
T??CA?_CCOW_W_KOBCCW_Pa?bC?bC?Pa?CW_	C21(6, 10)	n=21	m=42
T????A?oB?E?e?r?Ko@e?EW?Ko?Ko?EW?@e?	C21(8, 9)	n=21	m=42
T????A?OD?Y?Y?l?JO@Y?Dg?JO?JO?Dg?@Y?	C21(8, 10)	n=21	m=42
T??????_E?[?{?]?F_?{?Bo?F_?F_?Bo??{?	C21(9, 10)	n=21	m=42
TlUihSTAgI_T?T?I_Ag?T_@T?Al?Ai_@Ug?T	C21(1, 3, 5)	n=21	m=63
TlSggUDOhAaDAD`AgOhADCGSGOkGOiCGU`AD	C21(1, 3, 8)	n=21	m=63
ThdLIchDGS_h?h?S_DK?hOAe_DI_DHOAeS?h	C21(1, 4, 6)	n=21	m=63
ThdHGcH`ICcHcHQCc`GcHAOeC`IC`HAOeOcH	C21(1, 4, 9)	n=21	m=63
ThEIHCPaIGcPcPQGcaGcPaPDCaHCaGaPEGcP	C21(1, 5, 9)	n=21	m=63
ThCKIE`SHOa`A``OgSLA`SICgSGgSGSIEDA`	C21(1, 6, 8)	n=21	m=63
TUWooYEOpBAEAE`BGOpAECGWGOsGOuCGX`AE	C21(2, 3, 8)	n=21	m=63
TUWooWE?sBWEWEKBB?oWE@_WB?sB?u@_X_WE	C21(2, 3, 10)	n=21	m=63
TQIURGqEOX?q?q?X?ES?qoBH_EP_ESoBHK?q	C21(2, 5, 6)	n=21	m=63
TQIQPGQaQHCQcQQHCaOcQaPHCaPCaSaPHGcQ	C21(2, 5, 9)	n=21	m=63
TQGSQGaCSPWaWaKPBCSWaPaGbCObCSPaHCWa	C21(2, 6, 10)	n=21	m=63
TQGOOIAoR@EAeAr@KoPeAEWGKoOKoSEWH@eA	C21(2, 8, 9)	n=21	m=63
TCrb`o[B_M?[?[?M?B_?[_@r?Bf?Bb_@ow?[	C21(3, 4, 5)	n=21	m=63
TCp`_oK@cEWKWKKEB@_WK@_qB@eB@b@_ooWK	C21(3, 4, 10)	n=21	m=63
T?bFB_wF?[?w?w?[?FC?woBb_FB_F@oB_[?w	C21(4, 5, 6)	n=21	m=63
T?`@?_G`EC[G{G]CF`?{GBoaF`AF`@Bo_O{G	C21(4, 9, 10)	n=21	m=63
T??CAA_SDOY_Y_lOJSDY_Ti?jS?jS?Ti?DY_	C21(6, 8, 10)	n=21	m=63
T????A?oF?]?}?~?No@}?Fw?No?No?Fw?@}?	C21(8, 9, 10)	n=21	m=63
UhCGGC@?G?_@?@??_?G?@??C??G??G??C??@_??G	C22(1,)	n=22	m=22
UQGOOGA?O@?A?A?@??O?A??G??O??O??I??AO??O	C22(2,)	n=22	m=22
UCO__OC?_A?C?C?A??_?C??O??_??c??P??CG??_	C22(3,)	n=22	m=22
U?`@?_G@?C?G?G?C?@??G??_?@C?@A??__?GC?@?	C22(4,)	n=22	m=22
U?AA@?OA?G?O?O?G?A??O?@A?AA?A@?@?O?OA?A?	C22(5,)	n=22	m=22
U??CA?_C?O?_?_?O?C??__A@?C@?C?_A?G?_@?C?	C22(6,)	n=22	m=22
U???C@?G?_@?@??_?GC@?OC?_G?_G?OC?C@??_G?	C22(7,)	n=22	m=22
U????A?O@?A?A?@?OOAA?GG?OO?OO?GG?AA??OO?	C22(8,)	n=22	m=22
U??????_A?C?C?a?G_@C?CO?G_?G_?CO?@C??G_?	C22(9,)	n=22	m=22
U???????C?G?g?S?D??g?A_?D??D??A_??g??D??	C22(10,)	n=22	m=22
U?????????O?O?G?A??O?@??A??A??@???O??A??	C22(11,)	n=22	m=11
UlSggSD?gA_D?D?A_?g?D??S??g??k??T??Dg??g	C22(1, 3)	n=22	m=44
UhdHGcH@GC_H?H?C_@G?H??c?@K?@I??c_?Hc?@G	C22(1, 4)	n=22	m=44
UhEIHCPAGG_P?P?G_AG?P?@E?AI?AH?@CO?Pa?AG	C22(1, 5)	n=22	m=44
UhCKIC`CGO_`?`?O_CG?`_AD?CH?CG_ACG?``?CG	C22(1, 6)	n=22	m=44
UhCGKD@GG_`@@@?__GK@@OCC_GG_GGOCCC@@__GG	C22(1, 7)	n=22	m=44
UhCGGE@OH?a@A@@?oOIA@GGCOOGOOGGGCAA@_OOG	C22(1, 8)	n=22	m=44
UhCGGC@_I?c@C@a?g_HC@COCG_GG_GCOC@C@_G_G	C22(1, 9)	n=22	m=44
UhCGGC@?K?g@g@S?d?Gg@A_CD?GD?GA_C?g@_D?G	C22(1, 10)	n=22	m=44
UhCGGC@?G?o@O@G?a?GO@@?CA?GA?G@?C?O@_A?G	C22(1, 11)	n=22	m=33
UUWooWE?oB?E?E?B??o?E??W??o??s??Z??EW??o	C22(2, 3)	n=22	m=44
UQIQPGQAOH?Q?Q?H?AO?Q?@I?AQ?AP?@IO?QQ?AO	C22(2, 5)	n=22	m=44
UQGSQGaCOP?a?a?P?CO?a_AH?CP?CO_AIG?aP?CO	C22(2, 6)	n=22	m=44
UQGOSHAGO`@A@A?`?GS@AOCG_GO_GOOCIC@AO_GO	C22(2, 7)	n=22	m=44
UQGOOIAOP@AAAA@@OOQAAGGGOOOOOOGGIAAAOOOO	C22(2, 8)	n=22	m=44
UQGOOGA_Q@CACAa@G_PCACOGG_OG_OCOI@CAOG_O	C22(2, 9)	n=22	m=44
UQGOOGA?O@OAOAG@A?OOA@?GA?OA?O@?I?OAOA?O	C22(2, 11)	n=22	m=33
UCp`_oK@_E?K?K?E?@_?K??o?@c?@e??p_?KK?@_	C22(3, 4)	n=22	m=44
UCQa`OSA_I?S?S?I?A_?S?@Q?Aa?Ad?@PO?SI?A_	C22(3, 5)	n=22	m=44
UCO_cPCG_a@C@C?a?Gc@COCO_G__GcOCPC@CG_G_	C22(3, 7)	n=22	m=44
UCO__QCO`AACAC@AOOaACGGOOO_OOcGGPAACGOO_	C22(3, 8)	n=22	m=44
UCO__OC_aACCCCaAG_`CCCOOG__G_cCOP@CCGG__	C22(3, 9)	n=22	m=44
UCO__OC?cAGCgCSAD?_gCA_OD?_D?cA_P?gCGD?_	C22(3, 10)	n=22	m=44
UCO__OC?_AOCOCGAA?_OC@?OA?_A?c@?P?OCGA?_	C22(3, 11)	n=22	m=33
U?bB@_WB?K?W?W?K?B??W?@a?BE?BB?@_o?WE?B?	C22(4, 5)	n=22	m=44
U?`DA_gD?S?g?g?S?D??g_A`?DD?DA_A_g?gD?D?	C22(4, 6)	n=22	m=44
U?`@C`GH?c@G@G?c?HC@GOC__HC_HAOC_c@GC_H?	C22(4, 7)	n=22	m=44
U?`@?_G@CCGGgGSCD@?gGA__D@CD@AA___gGCD@?	C22(4, 10)	n=22	m=44
U?`@?_G@?COGOGGCA@?OG@?_A@CA@A@?__OGCA@?	C22(4, 11)	n=22	m=33
U?AEB?oE?W?o?o?W?E??o_BB?EB?E@_B?W?oB?E?	C22(5, 6)	n=22	m=44
U?AAD@OI?g@O@O?g?IC@OODA_IA_I@OD?S@OA_I?	C22(5, 7)	n=22	m=44
U?AA@AOQ@GAOAO@GOQAAOGHAOQAOQ@GH?QAOAOQ?	C22(5, 8)	n=22	m=44
U?AA@?OaAGCOCOaGGa@COCPAGaAGa@CP?PCOAGa?	C22(5, 9)	n=22	m=44
U?AA@?OA?GOOOOGGAA?OO@@AAAAAA@@@?OOOAAA?	C22(5, 11)	n=22	m=33
U??CE@_K?o@_@_?o?KC@_oE@_K@_K?oE?K@_@_K?	C22(6, 7)	n=22	m=44
U??CA?_cAOC_C_aOGc@C_cQ@Gc@Gc?cQ?HC_@Gc?	C22(6, 9)	n=22	m=44
U??CA?_C?OO_O_GOAC?O_`A@AC@AC?`A?GO_@AC?	C22(6, 11)	n=22	m=33
U???C@?gA_D?D?a_GgDD?SS?gg?gg?SS?DD??gg?	C22(7, 9)	n=22	m=44
U???C@?GC_H?h?S_DGCh?Qc?dG?dG?Qc?Ch??dG?	C22(7, 10)	n=22	m=44
U???C@?G?_P?P?G_AGCP?PC?aG?aG?PC?CP??aG?	C22(7, 11)	n=22	m=33
U????A?oB?E?E?b?WoBE?KW?Wo?Wo?KW?BE??Wo?	C22(8, 9)	n=22	m=44
U????A?OD?I?i?T?TOAi?Ig?TO?TO?Ig?Ai??TO?	C22(8, 10)	n=22	m=44
U????A?O@?Q?Q?H?QOAQ?HG?QO?QO?HG?AQ??QO?	C22(8, 11)	n=22	m=33
U??????_E?K?k?u?L_@k?Eo?L_?L_?Eo?@k??L_?	C22(9, 10)	n=22	m=44
U??????_A?S?S?i?I_@S?DO?I_?I_?DO?@S??I_?	C22(9, 11)	n=22	m=33
U???????C?W?w?[?F??w?B_?F??F??B_??w??F??	C22(10, 11)	n=22	m=33
UlUihSTAgI_T?T?I_Ag?T?@U?Ai?Al?@TO?Ti?Ag	C22(1, 3, 5)	n=22	m=66
UlSgkTDGga`D@D?a_Gk@DOCS_Gg_GkOCTC@Dg_Gg	C22(1, 3, 7)	n=22	m=66
UlSggUDOhAaDAD@AoOiADGGSOOgOOkGGTAADgOOg	C22(1, 3, 8)	n=22	m=66
UlSggSD_iAcDCDaAg_hCDCOSG_gG_kCOT@CDgG_g	C22(1, 3, 9)	n=22	m=66
UlSggSD?kAgDgDSAd?ggDA_SD?gD?kA_T?gDgD?g	C22(1, 3, 10)	n=22	m=66
UlSggSD?gAoDODGAa?gOD@?SA?gA?k@?T?ODgA?g	C22(1, 3, 11)	n=22	m=55
UhdLIchDGS_h?h?S_DG?h_Ad?DL?DI_Acg?hd?DG	C22(1, 4, 6)	n=22	m=66
UhdHKdHHGc`H@H?c_HK@HOCc_HK_HIOCcc@Hc_HG	C22(1, 4, 7)	n=22	m=66
UhdHGcH@KCgHgHSCd@GgHA_cD@KD@IA_c_gHcD@G	C22(1, 4, 10)	n=22	m=66
UhdHGcH@GCoHOHGCa@GOH@?cA@KA@I@?c_OHcA@G	C22(1, 4, 11)	n=22	m=55
UhEILDPIGg`P@P?g_IK@PODE_II_IHODCS@Pa_IG	C22(1, 5, 7)	n=22	m=66
UhEIHEPQHGaPAP@GoQIAPGHEOQIOQHGHCQAPaOQG	C22(1, 5, 8)	n=22	m=66
UhEIHCPaIGcPCPaGgaHCPCPEGaIGaHCPCPCPaGaG	C22(1, 5, 9)	n=22	m=66
UhEIHCPAGGoPOPGGaAGOP@@EAAIAAH@@COOPaAAG	C22(1, 5, 11)	n=22	m=55
UhCKIC`cIOc`C`aOgcHC`cQDGcHGcGcQCHC``GcG	C22(1, 6, 9)	n=22	m=66
UhCKIC`CGOo`O`GOaCGO``ADACHACG`ACGO``ACG	C22(1, 6, 11)	n=22	m=55
UhCGKD@gI_d@D@a_ggLD@SSCggGggGSSCDD@_ggG	C22(1, 7, 9)	n=22	m=66
UhCGKD@GK_h@h@S_dGKh@QcCdGGdGGQcCCh@_dGG	C22(1, 7, 10)	n=22	m=66
UhCGKD@GG_p@P@G_aGKP@PCCaGGaGGPCCCP@_aGG	C22(1, 7, 11)	n=22	m=55
UhCGGE@OL?i@i@T?tOIi@IgCTOGTOGIgCAi@_TOG	C22(1, 8, 10)	n=22	m=66
UhCGGE@OH?q@Q@H?qOIQ@HGCQOGQOGHGCAQ@_QOG	C22(1, 8, 11)	n=22	m=55
UhCGGC@_I?s@S@i?i_HS@DOCI_GI_GDOC@S@_I_G	C22(1, 9, 11)	n=22	m=55
UUWosXEGob@E@E?b?Gs@EOCW_Go_GsOCZC@EW_Go	C22(2, 3, 7)	n=22	m=66
UUWooYEOpBAEAE@BOOqAEGGWOOoOOsGGZAAEWOOo	C22(2, 3, 8)	n=22	m=66
UUWooWE_qBCECEaBG_pCECOWG_oG_sCOZ@CEWG_o	C22(2, 3, 9)	n=22	m=66
UUWooWE?oBOEOEGBA?oOE@?WA?oA?s@?Z?OEWA?o	C22(2, 3, 11)	n=22	m=55
UQIURGqEOX?q?q?X?EO?q_BJ?ER?EP_BIW?qR?EO	C22(2, 5, 6)	n=22	m=66
UQIQPIQQPHAQAQ@HOQQAQGHIOQQOQPGHIQAQQOQO	C22(2, 5, 8)	n=22	m=66
UQIQPGQaQHCQCQaHGaPCQCPIGaQGaPCPIPCQQGaO	C22(2, 5, 9)	n=22	m=66
UQIQPGQAOHOQOQGHAAOOQ@@IAAQAAP@@IOOQQAAO	C22(2, 5, 11)	n=22	m=55
UQGSUHaKOp@a@a?p?KS@aoEH_KP_KOoEIK@aP_KO	C22(2, 6, 7)	n=22	m=66
UQGSQGacQPCaCaaPGcPCacQHGcPGcOcQIHCaPGcO	C22(2, 6, 9)	n=22	m=66
UQGSQGaCOPOaOaGPACOOa`AHACPACO`AIGOaPACO	C22(2, 6, 11)	n=22	m=55
UQGOSHAGO`PAPAG`AGSPAPCGaGOaGOPCICPAOaGO	C22(2, 7, 11)	n=22	m=55
UQGOOIAoR@EAEAb@WoREAKWGWoOWoOKWIBEAOWoO	C22(2, 8, 9)	n=22	m=66
UQGOOIAOP@QAQAH@QOQQAHGGQOOQOOHGIAQAOQOO	C22(2, 8, 11)	n=22	m=55
UCrb`o[B_M?[?[?M?B_?[?@q?Be?Bf?@po?[M?B_	C22(3, 4, 5)	n=22	m=66
UCp`_oK@cEGKgKSED@_gKA_oD@cD@eA_p_gKKD@_	C22(3, 4, 10)	n=22	m=66
UCp`_oK@_EOKOKGEA@_OK@?oA@cA@e@?p_OKKA@_	C22(3, 4, 11)	n=22	m=55
UCQadPSI_i@S@S?i?Ic@SODQ_Ia_IdODPS@SI_I_	C22(3, 5, 7)	n=22	m=66
UCQa`OSaaICSCSaIGa`CSCPQGaaGadCPPPCSIGa_	C22(3, 5, 9)	n=22	m=66
UCQa`OSA_IOSOSGIAA_OS@@QAAaAAd@@POOSIAA_	C22(3, 5, 11)	n=22	m=55
UCO_cPCgaaDCDCaaGgdDCSSOgg_ggcSSPDDCGgg_	C22(3, 7, 9)	n=22	m=66
UCO_cPCG_aPCPCGaAGcPCPCOaG_aGcPCPCPCGaG_	C22(3, 7, 11)	n=22	m=55
UCO__QCobAECECbAWobECKWOWo_WocKWPBECGWo_	C22(3, 8, 9)	n=22	m=66
UCO__QCOdAICiCTATOaiCIgOTO_TOcIgPAiCGTO_	C22(3, 8, 10)	n=22	m=66
UCO__OC_aASCSCiAI_`SCDOOI__I_cDOP@SCGI__	C22(3, 9, 11)	n=22	m=55
UCO__OC?cAWCwC[AF?_wCB_OF?_F?cB_P?wCGF?_	C22(3, 10, 11)	n=22	m=55
U?bFB_wF?[?w?w?[?F??w_Bb?FF?FB_B_w?wF?F?	C22(4, 5, 6)	n=22	m=66
U?bBD`WJ?k@W@W?k?JC@WODa_JE_JBOD_s@WE_J?	C22(4, 5, 7)	n=22	m=66
U?bB@_WB?KOWOWGKAB?OW@@aABEABB@@_oOWEAB?	C22(4, 5, 11)	n=22	m=55
U?`DE`gL?s@g@g?s?LC@goE`_LD_LAoE_k@gD_L?	C22(4, 6, 7)	n=22	m=66
U?`DA_gD?SOgOgGSAD?Og`A`ADDADA`A_gOgDAD?	C22(4, 6, 11)	n=22	m=55
U?`@C`GHCcHGhGScDHChGQc_dHCdHAQc_chGCdH?	C22(4, 7, 10)	n=22	m=66
U?`@?_G@CCWGwG[CF@?wGB__F@CF@AB___wGCF@?	C22(4, 10, 11)	n=22	m=55
U?AEF@oM?w@o@o?w?MC@ooFB_MB_M@oF?[@oB_M?	C22(5, 6, 7)	n=22	m=66
U?AEB?oeAWCoCoaWGe@CocRBGeBGe@cR?XCoBGe?	C22(5, 6, 9)	n=22	m=66
U?AAD@OiAgDODOagGiDDOSTAgiAgi@ST?TDOAgi?	C22(5, 7, 9)	n=22	m=66
U?AAD@OI?gPOPOGgAICPOPDAaIAaI@PD?SPOAaI?	C22(5, 7, 11)	n=22	m=55
U?AA@AOQ@GQOQOHGQQAQOHHAQQAQQ@HH?QQOAQQ?	C22(5, 8, 11)	n=22	m=55
U?AA@?OaAGSOSOiGIa@SODPAIaAIa@DP?PSOAIa?	C22(5, 9, 11)	n=22	m=55
U??CE@_K?oP_P_GoAKCP_pE@aK@aK?pE?KP_@aK?	C22(6, 7, 11)	n=22	m=55
U??CA?_cAOS_S_iOIc@S_dQ@Ic@Ic?dQ?HS_@Ic?	C22(6, 9, 11)	n=22	m=55
U???C@?gE_L?l?u_LgDl?Us?lg?lg?Us?Dl??lg?	C22(7, 9, 10)	n=22	m=66
U???C@?gA_T?T?i_IgDT?TS?ig?ig?TS?DT??ig?	C22(7, 9, 11)	n=22	m=55
U???C@?GC_X?x?[_FGCx?Rc?fG?fG?Rc?Cx??fG?	C22(7, 10, 11)	n=22	m=55
U????A?oF?M?m?v?\oBm?Mw?\o?\o?Mw?Bm??\o?	C22(8, 9, 10)	n=22	m=66
U????A?oB?U?U?j?YoBU?LW?Yo?Yo?LW?BU??Yo?	C22(8, 9, 11)	n=22	m=55
U????A?OD?Y?y?\?VOAy?Jg?VO?VO?Jg?Ay??VO?	C22(8, 10, 11)	n=22	m=55
U??????_E?[?{?}?N_@{?Fo?N_?N_?Fo?@{??N_?	C22(9, 10, 11)	n=22	m=55
UlUilTTIgi`T@T?i_Ik@TODU_Ii_IlODTS@Ti_Ig	C22(1, 3, 5, 7)	n=22	m=88
UlUihSTaiIcTCTaIgahCTCPUGaiGalCPTPCTiGag	C22(1, 3, 5, 9)	n=22	m=88
UlUihSTAgIoTOTGIaAgOT@@UAAiAAl@@TOOTiAAg	C22(1, 3, 5, 11)	n=22	m=77
UlSgkTDgiadDDDaagglDDSSSgggggkSSTDDDgggg	C22(1, 3, 7, 9)	n=22	m=88
UlSgkTDGgapDPDGaaGkPDPCSaGgaGkPCTCPDgaGg	C22(1, 3, 7, 11)	n=22	m=77
UlSggUDOlAiDiDTAtOiiDIgSTOgTOkIgTAiDgTOg	C22(1, 3, 8, 10)	n=22	m=88
UlSggSD_iAsDSDiAi_hSDDOSI_gI_kDOT@SDgI_g	C22(1, 3, 9, 11)	n=22	m=77
UhdLIchDGSohOhGSaDGOh`AdADLADI`AcgOhdADG	C22(1, 4, 6, 11)	n=22	m=77
UhdHKdHHKchHhHScdHKhHQccdHKdHIQccchHcdHG	C22(1, 4, 7, 10)	n=22	m=88
UhEILDPiIgdPDPaggiLDPSTEgiIgiHSTCTDPagiG	C22(1, 5, 7, 9)	n=22	m=88
UhEILDPIGgpPPPGgaIKPPPDEaIIaIHPDCSPPaaIG	C22(1, 5, 7, 11)	n=22	m=77
UhEIHCPaIGsPSPiGiaHSPDPEIaIIaHDPCPSPaIaG	C22(1, 5, 9, 11)	n=22	m=77
UhCKIC`cIOs`S`iOicHS`dQDIcHIcGdQCHS``IcG	C22(1, 6, 9, 11)	n=22	m=77
UhCGKD@gI_t@T@i_igLT@TSCigGigGTSCDT@_igG	C22(1, 7, 9, 11)	n=22	m=77
UUWosXEGobPEPEGbAGsPEPCWaGoaGsPCZCPEWaGo	C22(2, 3, 7, 11)	n=22	m=77
UUWooYEorBEEEEbBWorEEKWWWooWosKWZBEEWWoo	C22(2, 3, 8, 9)	n=22	m=88
UQIURGqeQXCqCqaXGePCqcRJGeRGePcRIXCqRGeO	C22(2, 5, 6, 9)	n=22	m=88
UQIQPIQQPHQQQQHHQQQQQHHIQQQQQPHHIQQQQQQO	C22(2, 5, 8, 11)	n=22	m=77
UQGSUHaKOpPaPaGpAKSPapEHaKPaKOpEIKPaPaKO	C22(2, 6, 7, 11)	n=22	m=77
UCrb`o[B_MO[O[GMAB_O[@@qABeABf@@poO[MAB_	C22(3, 4, 5, 11)	n=22	m=77
UCp`_oK@cEWKwK[EF@_wKB_oF@cF@eB_p_wKKF@_	C22(3, 4, 10, 11)	n=22	m=77
UCQadPSiaiDSDSaiGidDSSTQgiagidSTPTDSIgi_	C22(3, 5, 7, 9)	n=22	m=88
UCQadPSI_iPSPSGiAIcPSPDQaIaaIdPDPSPSIaI_	C22(3, 5, 7, 11)	n=22	m=77
UCQa`OSaaISSSSiIIa`SSDPQIaaIadDPPPSSIIa_	C22(3, 5, 9, 11)	n=22	m=77
UCO_cPCgaaTCTCiaIgdTCTSOig_igcTSPDTCGig_	C22(3, 7, 9, 11)	n=22	m=77
U?bFF`wN?{@w@w?{?NC@woFb_NF_NBoF_{@wF_N?	C22(4, 5, 6, 7)	n=22	m=88
U?AAD@OiAgTOTOigIiDTOTTAiiAii@TT?TTOAii?	C22(5, 7, 9, 11)	n=22	m=77
U???C@?gE_\?|?}_NgD|?Vs?ng?ng?Vs?D|??ng?	C22(7, 9, 10, 11)	n=22	m=77
