Dhc	Andrasfai(2)
YQIQPGQaQHCQCQAH?aOCQ?PI?aQ?aP?PGOCQa?aQGAHCOCQcOCQQGAH?	Circ(26;2.5.9)
YQIQPGQAOHOQOQGHAASOQP@GaAOaAOP@GCOQ_aAQAGHCCOQcCOQQAGH?	Circ(26;2.5.11)
YQIQPGQAOH?Q?Q_HGAP?QC@GGAOGAOC@G@?Q_GAQ?_HC@?Qc@?QQ?_H?	Circ(26;2.5.13)
YQGSUHaKOp@a@a?p?KO@a?EG?KO?KS?EJ?@aW?KP_?pB?@ab?@aP_?p?	Circ(26;2.6.7)
YQGSQGacQPCaCaAP?cOCa?QI?cQ?cP?QIOCaQ?cPGAPAOCaaOCaPGAP?	Circ(26;2.6.9)
YQGSQGaCOPOaOaGPACSOaPAGaCOaCOPAICOaOaCPAGPACOaaCOaPAGP?	Circ(26;2.6.11)
YQGSQGaCOP?a?a_PGCP?aCAGGCOGCOCAI@?aOGCP?_PA@?aa@?aP?_P?	Circ(26;2.6.13)
YQGOSJAWP`BABA@`?WOBA?KG?WS?WU?KH_BAK?WOo@`@_BA`_BAOo@`?	Circ(26;2.7.8)
YQGOSHAGS`HAHAC`@GOHA_cH@GP@GS_cHGHAH@GOcC`@GHA`GHAOcC`?	Circ(26;2.7.10)
YQGOSHAGO`PAPAG`AGSPAPCGaGOaGSPCHCPAGaGOaG`@CPA`CPAOaG`?	Circ(26;2.7.11)
YQGOSHAGO`@A@A_`GGP@ACCGGGOGGSCCH@@AGGGO__`@@@A`@@AO__`?	Circ(26;2.7.13)
YQGOOIAOP@QAQAH@AOSQAPGGaOSaOQPGGcQACaOOQH@?cQA_cQAOQH@?	Circ(26;2.8.11)
YQGOOIAOP@AAAA`@GOPAACGGGOSGOQCGG`AACGOOO`@?`AA_`AAOO`@?	Circ(26;2.8.13)
YQGOOGA_U@KAKAE@@_OKA_oJ@_R@_P_oGWKAB@_OKE@?WKA_WKAOKE@?	Circ(26;2.9.10)
YQGOOGA_Q@CACAa@G_PCACOIG_QG_PCOGPCAAG_OGa@?PCA_PCAOGa@?	Circ(26;2.9.13)
YQGOOGA?S@WAWAK@B?SWAp_Hb?Pb?Op_GKWA@b?OEK@?KWA_KWAOEK@?	Circ(26;2.10.11)
YQGOOGA?S@GAGAc@H?PGAc_HH?PH?Oc_GHGA@H?OCc@?HGA_HGAOCc@?	Circ(26;2.10.13)
YCrb`o[B_M?[?[?M?B_?[?@o?B_?B_?@o??[_?Be??M[??[[??[M??M?	Circ(26;3.4.5)
YCp`_oK`aECKCKAE?`_CK?Oq?`a?``?OoOCKA?`cGAEWOCKWOCKKGAE?	Circ(26;3.4.9)
YCp`_oK@cEGKGKCE@@_GK__p@@`@@___oGGK@@@cCCEWGGKWGGKKCCE?	Circ(26;3.4.10)
YCp`_oK@_E?K_KOES@a_KI?oS@_S@_I?oA_K?S@c@OEWA_KWA_KK@OE?	Circ(26;3.4.12)
YCp`_oK@_E?K?K_EG@`?KC?oG@_G@_C?o@?K?G@c?_EW@?KW@?KK?_E?	Circ(26;3.4.13)
YCQadPSI_i@S@S?i?I_@S?DO?I_?Ic?DP?@Sg?Ia_?iT?@ST?@SI_?i?	Circ(26;3.5.7)
YCQa`OSaaICSCSAI?a_CS?PQ?aa?a`?POOCSa?aaGAISOCSSOCSIGAI?	Circ(26;3.5.9)
YCQa`OSA_IOSOSGIAAcOSP@OaA_aA_P@OCOS_aAaAGISCOSSCOSIAGI?	Circ(26;3.5.11)
YCQa`OSA_I?S_SOISAa_SI@OSA_SA_I@OA_S_SAa@OISA_SSA_SI@OI?	Circ(26;3.5.12)
YCQa`OSA_I?S?S_IGA`?SC@OGA_GA_C@O@?S_GAa?_IS@?SS@?SI?_I?	Circ(26;3.5.13)
YCO_cRCW`aBCBC@a?W_BC?KO?Wc?We?KP_BCK?W_o@aP_BCP_BCGo@a?	Circ(26;3.7.8)
YCO_cPCgaaDCDCAa?g_DC?SQ?ga?gd?SPODCI?g_gAaPODCPODCGgAa?	Circ(26;3.7.9)
YCO_cPCG_aPCPCGaAGcPCPCOaG_aGcPCPCPCGaG_aGaPCPCPCPCGaGa?	Circ(26;3.7.11)
YCO_cPCG_a@C@C_aGG`@CCCOGG_GGcCCP@@CGGG___aP@@CP@@CG__a?	Circ(26;3.7.13)
YCO__QCO`AACaCPASOaaCIGOSOcSOaIGOaaCCSO_PPAOaaCOaaCGPPA?	Circ(26;3.8.12)
YCO__QCO`AACAC`AGO`ACCGOGOcGOaCGO`ACCGO_O`AO`ACO`ACGO`A?	Circ(26;3.8.13)
YCO__OC_eAKCKCEA@__KC_oR@_b@_`_oOWKCB@__KEAOWKCOWKCGKEA?	Circ(26;3.9.10)
YCO__OC_aASCSCIAA_cSCPOQa_aa_`POOSSCAa__IIAOSSCOSSCGIIA?	Circ(26;3.9.11)
YCO__OC_aACCCCaAG_`CCCOQG_aG_`COOPCCAG__GaAOPCCOPCCGGaA?	Circ(26;3.9.13)
YCO__OC?cAWCWCKAB?cWCp_Pb?`b?_p_OKWC@b?_EKAOKWCOKWCGEKA?	Circ(26;3.10.11)
YCO__OC?cAGCgCSAT?agCi_PT?`T?_i_OIgC@T?_DSAOIgCOIgCGDSA?	Circ(26;3.10.12)
YCO__OC?_AOCOCgAI?dOCT?Oi?_i?_T?ODOC?i?_AgAODOCODOCGAgA?	Circ(26;3.11.13)
YCO__OC?_A?C_CoA[?b_CM?O[?_[?_M?OB_C?[?_@oAOB_COB_CG@oA?	Circ(26;3.12.13)
Y?bFB_wF?[?w?w?[?F??w?B_?F??F??Ba??wo?FF??[M??wM??wF??[?	Circ(26;4.5.6)
Y?bBD`WJ?k@W@W?k?J?@W?D_?J??JC?D`?@Wg?JE_?kL?@WL?@WE_?k?	Circ(26;4.5.7)
Y?bB@_WB?K?W_WOKSBA_WI@_SB?SB?I@_A_W_SBE@OKKA_WKA_WE@OK?	Circ(26;4.5.12)
Y?bB@_WB?K?W?W_KGB@?WC@_GB?GB?C@_@?W_GBE?_KK@?WK@?WE?_K?	Circ(26;4.5.13)
Y?`DE`gL?s@g@g?s?L?@g?E_?L??LC?Eb?@gW?LD_?sJ?@gJ?@gD_?s?	Circ(26;4.6.7)
Y?`DA_gdASCgCgAS?d?Cg?Qa?dA?d@?QaOCgQ?dDGASIOCgIOCgDGAS?	Circ(26;4.6.9)
Y?`DA_gD?S?g?g_SGD@?gCA_GD?GD?CAa@?gOGDD?_SI@?gI@?gD?_S?	Circ(26;4.6.13)
Y?`@C`GhAcDGDGAc?h?DG?Sa?hA?hD?S`ODGI?hCgAcHODGHODGCgAc?	Circ(26;4.7.9)
Y?`@C`GHCcHGHGCc@H?HG_c`@H@@HC_c`GHGH@HCcCcHGHGHGHGCcCc?	Circ(26;4.7.10)
Y?`@C`GH?c@G@G_cGH@@GCC_GH?GHCCC`@@GGGHC__cH@@GH@@GC__c?	Circ(26;4.7.13)
Y?`@?_G`ECKGKGEC@`?KG_ob@`B@`@_o_WKGB@`CKECGWKGGWKGCKEC?	Circ(26;4.9.10)
Y?`@?_G`ACCGcGQCS`AcGIOaS`AS`@IO_QcGAS`CHQCGQcGGQcGCHQC?	Circ(26;4.9.12)
Y?`@?_G@CCGGGGcCH@@GGc_`H@@H@?c__HGG@H@CCcCGHGGGHGGCCcC?	Circ(26;4.10.13)
Y?`@?_G@?C?G_GoC[@B_GM?_[@?[@?M?_B_G?[@C@oCGB_GGB_GC@oC?	Circ(26;4.12.13)
Y?AEF@oM?w@o@o?w?M?@o?F??M??MC?FB?@ow?MB_?wF?@oF?@oB_?w?	Circ(26;5.6.7)
Y?AEBAoU@WAoAo@W?U?Ao?J??UC?UA?JA_Aos?UBO@WE_AoE_AoBO@W?	Circ(26;5.6.8)
Y?AEB?oeAWCoCoAW?e?Co?RA?eA?e@?RAOCoq?eBGAWEOCoEOCoBGAW?	Circ(26;5.6.9)
Y?AEB?oE?W?o?o_WGE@?oCB?GE?GE?CBA@?ooGEB?_WE@?oE@?oB?_W?	Circ(26;5.6.13)
Y?AADBOY@gBOBO@g?Y?BO?L??YC?YE?L@_BOk?YAo@gD_BOD_BOAo@g?	Circ(26;5.7.8)
Y?AAD@OiAgDODOAg?i?DO?TA?iA?iD?T@ODOi?iAgAgDODODODOAgAg?	Circ(26;5.7.9)
Y?AAD@OI?gPOPOGgAICPOPD?aI?aICPD@CPOgaIAaGgDCPODCPOAaGg?	Circ(26;5.7.11)
Y?AAD@OI?g@O@O_gGI@@OCD?GI?GICCD@@@OgGIA__gD@@OD@@OA__g?	Circ(26;5.7.13)
Y?AA@AOQ@GQOQOHGAQCQOPH?aQCaQAPH?cQOcaQAQHGCcQOCcQOAQHG?	Circ(26;5.8.11)
Y?AA@AOQ@GAOaOPGSQAaOIH?SQCSQAIH?aaOcSQAPPGCaaOCaaOAPPG?	Circ(26;5.8.12)
Y?AA@?OaAGSOSOIGAaCSOPPAaaAaa@PP?SSOaaaAIIGCSSOCSSOAIIG?	Circ(26;5.9.11)
Y?AA@?OaAGCOCOaGGa@COCPAGaAGa@CP?PCOaGaAGaGCPCOCPCOAGaG?	Circ(26;5.9.13)
Y?AA@?OA?GOOoOWGUAEoOZ@?uA?uA?Z@?EoO_uAABWGCEoOCEoOABWG?	Circ(26;5.11.12)
Y?AA@?OA?GOOOOgGIADOOT@?iA?iA?T@?DOO_iAAAgGCDOOCDOOAAgG?	Circ(26;5.11.13)
Y?AA@?OA?G?O_OoG[AB_OM@?[A?[A?M@?B_O_[AA@oGCB_OCB_OA@oG?	Circ(26;5.12.13)
Y??CEB_[@oB_B_@o?[?B_?M??[C?[E?MB_B_[?[@o@oB_B_B_B_@o@o?	Circ(26;6.7.8)
Y??CE@_kAoD_D_Ao?k?D_?UA?kA?kD?UBOD_Y?k@gAoBOD_BOD_@gAo?	Circ(26;6.7.9)
Y??CE@_K?oP_P_GoAKCP_PE?aK?aKCPEBCP_WaK@aGoBCP_BCP_@aGo?	Circ(26;6.7.11)
Y??CAA_S@OQ_Q_HOASCQ_PI?aSCaSAPIAcQ_SaS@QHOAcQ_AcQ_@QHO?	Circ(26;6.8.11)
Y??CAA_S@OA_A_`OGS@A_CI?GSCGSACIA`A_SGS@O`OA`A_A`A_@O`O?	Circ(26;6.8.13)
Y??CA?_cAOC_C_aOGc@C_CQAGcAGc@CQAPC_QGc@GaOAPC_APC_@GaO?	Circ(26;6.9.13)
Y??CA?_C?OO_O_gOICDO_TA?iC?iC?TAADO_OiC@AgOADO_ADO_@AgO?	Circ(26;6.11.13)
Y???CB?W@_B?B?`_GW@B?CK?GWCGWECK@`B?KGW?o`_@`B?@`B??o`_?	Circ(26;7.8.13)
Y???C@?gA_T?T?I_AgCT?PSAagAagDPS@ST?Iag?iI_@ST?@ST??iI_?	Circ(26;7.9.11)
Y???C@?gA_D?D?a_Gg@D?CSAGgAGgDCS@PD?IGg?ga_@PD?@PD??ga_?	Circ(26;7.9.13)
Y???C@?GC_X?X?K_BGCX?pc@bG@bGCpc@KX?HbG?eK_@KX?@KX??eK_?	Circ(26;7.10.11)
Y???C@?GC_H?H?c_HG@H?cc@HG@HGCcc@HH?HHG?cc_@HH?@HH??cc_?	Circ(26;7.10.13)
Y???C@?G?_P?P?g_IGDP?TC?iG?iGCTC@DP?GiG?ag_@DP?@DP??ag_?	Circ(26;7.11.13)
Y????A?O@?Q?q?X?UOEq?ZG?uOCuOAZG?eq?CuO?RX??eq??eq??RX??	Circ(26;8.11.12)
Y????A?O@?Q?Q?h?IODQ?TG?iOCiOATG?dQ?CiO?Qh??dQ??dQ??Qh??	Circ(26;8.11.13)
Y????A?O@?A?a?p?[OBa?MG?[OC[OAMG?ba?C[O?Pp??ba??ba??Pp??	Circ(26;8.12.13)
Y??????_E?[?[?M?B_C[?poBb_Bb_@po?[[?Bb_?MM??[[??[[??MM??	Circ(26;9.10.11)
Y??????_E?K?k?U?T_Ak?ioBT_BT_@io?Yk?BT_?LU??Yk??Yk??LU??	Circ(26;9.10.12)
Y??????_E?K?K?e?H_@K?coBH_BH_@co?XK?BH_?Ke??XK??XK??Ke??	Circ(26;9.10.13)
Y??????_A?S?s?Y?U_Es?ZOAu_Au_@ZO?Us?Au_?JY??Us??Us??JY??	Circ(26;9.11.12)
Y??????_A?S?S?i?I_DS?TOAi_Ai_@TO?TS?Ai_?Ii??TS??TS??Ii??	Circ(26;9.11.13)
Y??????_A?C?c?q?[_Bc?MOA[_A[_@MO?Rc?A[_?Hq??Rc??Rc??Hq??	Circ(26;9.12.13)
Y???????C?W?w?[?V?Ew?z_@v?@v??z_?Mw?@v??F[??Mw??Mw??F[??	Circ(26;10.11.12)
Y???????C?W?W?k?J?DW?t_@j?@j??t_?LW?@j??Ek??LW??LW??Ek??	Circ(26;10.11.13)
Y???????C?G?g?s?\?Bg?m_@\?@\??m_?Jg?@\??Ds??Jg??Jg??Ds??	Circ(26;10.12.13)
YlUilTTIgi`T@T?i_Ig@T?DS?Ig?Ik?DT?@Tg?Ii_?it?@TT?@Ti_?i_	Circ(26;1.3.5.7)
YlUihSTaiIcTCTAI_agCT?PU?ai?ah?PSOCTa?aiGAIsOCTSOCTiGAI_	Circ(26;1.3.5.9)
YlUihSTAgIoTOTGIaAkOTP@SaAgaAgP@SCOT_aAiAGIsCOTSCOTiAGI_	Circ(26;1.3.5.11)
YlUihSTAgI_T_TOIsAi_TI@SSAgSAgI@SA_T_SAi@OIsA_TSA_Ti@OI_	Circ(26;1.3.5.12)
YlUihSTAgI_T?T_IgAh?TC@SGAgGAgC@S@?T_GAi?_Is@?TS@?Ti?_I_	Circ(26;1.3.5.13)
YlSgkTDgiadDDDAa_ggDD?SU?gi?gl?STODDI?gggAapODDPODDggAa_	Circ(26;1.3.7.9)
YlSgkTDGgapDPDGaaGkPDPCSaGgaGkPCTCPDGaGgaGapCPDPCPDgaGa_	Circ(26;1.3.7.11)
YlSgkTDGga`D@D_agGh@DCCSGGgGGkCCT@@DGGGg__ap@@DP@@Dg__a_	Circ(26;1.3.7.13)
YlSggUDOhAaDaDPAsOiaDIGSSOkSOiIGSaaDCSOgPPAoaaDOaaDgPPA_	Circ(26;1.3.8.12)
YlSggUDOhAaDAD`AgOhADCGSGOkGOiCGS`ADCGOgO`Ao`ADO`ADgO`A_	Circ(26;1.3.8.13)
YlSggSD_iAsDSDIAa_kSDPOUa_ia_hPOSSSDAa_gIIAoSSDOSSDgIIA_	Circ(26;1.3.9.11)
YlSggSD_iAcDCDaAg_hCDCOUG_iG_hCOSPCDAG_gGaAoPCDOPCDgGaA_	Circ(26;1.3.9.13)
YlSggSD?kAgDgDSAt?igDi_TT?hT?gi_SIgD@T?gDSAoIgDOIgDgDSA_	Circ(26;1.3.10.12)
YlSggSD?gAoDODgAi?lODT?Si?gi?gT?SDOD?i?gAgAoDODODODgAgA_	Circ(26;1.3.11.13)
YhdLIchdISchChAS_dGCh?Qe?dI?dH?QeOChQ?dLGASiOChIOChdGAS_	Circ(26;1.4.6.9)
YhdLIchDGS_h?h_SgDH?hCAcGDGGDGCAe@?hOGDL?_Si@?hI@?hd?_S_	Circ(26;1.4.6.13)
YhdHKdHhIcdHDHAc_hGDH?Se?hI?hL?SdODHI?hKgAchODHHODHcgAc_	Circ(26;1.4.7.9)
YhdHKdHHKchHHHCc`HGHH_cd@HH@HK_cdGHHH@HKcCchGHHHGHHccCc_	Circ(26;1.4.7.10)
YhdHKdHHGc`H@H_cgHH@HCCcGHGGHKCCd@@HGGHK__ch@@HH@@Hc__c_	Circ(26;1.4.7.13)
YhdHGcH`ICcHcHQCs`IcHIOeS`IS`HIOcQcHAS`KHQCgQcHGQcHcHQC_	Circ(26;1.4.9.12)
YhdHGcH@KCgHGHcCh@HGHc_dH@HH@Gc_cHGH@H@KCcCgHGHGHGHcCcC_	Circ(26;1.4.10.13)
YhEILDPiIgdPDPAg_iGDP?TE?iI?iL?TDODPi?iIgAgdODPDODPagAg_	Circ(26;1.5.7.9)
YhEILDPIGgpPPPGgaIKPPPDCaIGaIKPDDCPPgaIIaGgdCPPDCPPaaGg_	Circ(26;1.5.7.11)
YhEILDPIGg`P@P_ggIH@PCDCGIGGIKCDD@@PgGII__gd@@PD@@Pa__g_	Circ(26;1.5.7.13)
YhEIHEPQHGqPQPHGaQKQPPHCaQKaQIPHCcQPcaQIQHGccQPCcQPaQHG_	Circ(26;1.5.8.11)
YhEIHEPQHGaPaPPGsQIaPIHCSQKSQIIHCaaPcSQIPPGcaaPCaaPaPPG_	Circ(26;1.5.8.12)
YhEIHCPaIGsPSPIGaaKSPPPEaaIaaHPPCSSPaaaIIIGcSSPCSSPaIIG_	Circ(26;1.5.9.11)
YhEIHCPaIGcPCPaGgaHCPCPEGaIGaHCPCPCPaGaIGaGcPCPCPCPaGaG_	Circ(26;1.5.9.13)
YhEIHCPAGGoPOPgGiALOPT@CiAGiAGT@CDOP_iAIAgGcDOPCDOPaAgG_	Circ(26;1.5.11.13)
YhCKIE`SHOq`Q`HOaSKQ`PICaSKaSIPIEcQ`SaSHQHOacQ`AcQ``QHO_	Circ(26;1.6.8.11)
YhCKIE`SHOa`A``OgSHA`CICGSKGSICIE`A`SGSHO`Oa`A`A`A``O`O_	Circ(26;1.6.8.13)
YhCKIC`cIOc`C`aOgcHC`CQEGcIGcHCQEPC`QGcHGaOaPC`APC``GaO_	Circ(26;1.6.9.13)
YhCKIC`CGOo`O`gOiCLO`TACiCGiCGTAEDO`OiCHAgOaDO`ADO``AgO_	Circ(26;1.6.11.13)
YhCGKD@gI_t@T@I_agKT@PSEagIagLPSDST@IagGiI_`ST@@ST@_iI__	Circ(26;1.7.9.11)
YhCGKD@gI_d@D@a_ggHD@CSEGgIGgLCSDPD@IGgGga_`PD@@PD@_ga__	Circ(26;1.7.9.13)
YhCGKD@GK_h@H@c_hGHH@ccDHGHHGKccDHH@HHGGcc_`HH@@HH@_cc__	Circ(26;1.7.10.13)
YhCGKD@GG_p@P@g_iGLP@TCCiGGiGKTCDDP@GiGGag_`DP@@DP@_ag__	Circ(26;1.7.11.13)
YhCGGE@OH?q@Q@h?iOLQ@TGCiOKiOITGCdQ@CiOGQh?_dQ@?dQ@_Qh?_	Circ(26;1.8.11.13)
YhCGGC@_I?s@S@i?i_LS@TOEi_Ii_HTOCTS@Ai_GIi?_TS@?TS@_Ii?_	Circ(26;1.9.11.13)
YUWosZEWpbBEBE@b?WoBE?KW?Ws?Wu?KX_BEK?Woo@bP_BEp_BEWo@b?	Circ(26;2.3.7.8)
YUWosXEGobPEPEGbAGsPEPCWaGoaGsPCXCPEGaGoaGbPCPEpCPEWaGb?	Circ(26;2.3.7.11)
YUWosXEGob@E@E_bGGp@ECCWGGoGGsCCX@@EGGGo__bP@@Ep@@EW__b?	Circ(26;2.3.7.13)
YUWooYEOpBAEAE`BGOpAECGWGOsGOqCGW`AECGOoO`BO`AEo`AEWO`B?	Circ(26;2.3.8.13)
YUWooWE_uBKEKEEB@_oKE_oZ@_r@_p_oWWKEB@_oKEBOWKEoWKEWKEB?	Circ(26;2.3.9.10)
YUWooWE_qBCECEaBG_pCECOYG_qG_pCOWPCEAG_oGaBOPCEoPCEWGaB?	Circ(26;2.3.9.13)
YUWooWE?sBWEWEKBB?sWEp_Xb?pb?op_WKWE@b?oEKBOKWEoKWEWEKB?	Circ(26;2.3.10.11)
YQIURGqeQXCqCqAX?eOCq?RI?eQ?eP?RIOCqq?eRGAXEOCqeOCqRGAX?	Circ(26;2.5.6.9)
YQIURGqEOX?q?q_XGEP?qCBGGEOGEOCBI@?qoGER?_XE@?qe@?qR?_X?	Circ(26;2.5.6.13)
YQIQPIQQPHQQQQHHAQSQQPHGaQSaQQPHGcQQcaQQQHHCcQQccQQQQHH?	Circ(26;2.5.8.11)
YQIQPGQaQHCQCQaHGaPCQCPIGaQGaPCPGPCQaGaQGaHCPCQcPCQQGaH?	Circ(26;2.5.9.13)
YQGSUHaKOpPaPaGpAKSPaPEGaKOaKSPEJCPaWaKPaGpBCPabCPaPaGp?	Circ(26;2.6.7.11)
YQGSQGacQPCaCaaPGcPCaCQIGcQGcPCQIPCaQGcPGaPAPCaaPCaPGaP?	Circ(26;2.6.9.13)
YQGOSJAWP`BABA``GWPBACKGGWSGWUCKH`BAKGWOo``@`BA``BAOo``?	Circ(26;2.7.8.13)
YQGOSHAGS`XAXAK`BGSXApcHbGPbGSpcHKXAHbGOeK`@KXA`KXAOeK`?	Circ(26;2.7.10.11)
YQGOSHAGS`HAHAc`HGPHAccHHGPHGSccHHHAHHGOcc`@HHA`HHAOcc`?	Circ(26;2.7.10.13)
YQGOOGA_U@KAKAe@H_PKAcoJH_RH_PcoGXKABH_OKe@?XKA_XKAOKe@?	Circ(26;2.9.10.13)
YCrb`o[B_M?[_[OMSBa_[I@oSB_SB_I@oA_[_SBe@OM[A_[[A_[M@OM?	Circ(26;3.4.5.12)
YCrb`o[B_M?[?[_MGB`?[C@oGB_GB_C@o@?[_GBe?_M[@?[[@?[M?_M?	Circ(26;3.4.5.13)
YCp`_oK`eEKKKKEE@`_KK_or@`b@``_ooWKKB@`cKEEWWKKWWKKKKEE?	Circ(26;3.4.9.10)
YCp`_oK@_E?K_KoE[@b_KM?o[@_[@_M?oB_K?[@c@oEWB_KWB_KK@oE?	Circ(26;3.4.12.13)
YCQadPSiaiDSDSAi?i_DS?TQ?ia?id?TPODSi?iagAiTODSTODSIgAi?	Circ(26;3.5.7.9)
YCQadPSI_iPSPSGiAIcPSPDOaI_aIcPDPCPSgaIaaGiTCPSTCPSIaGi?	Circ(26;3.5.7.11)
YCQadPSI_i@S@S_iGI`@SCDOGI_GIcCDP@@SgGIa__iT@@ST@@SI__i?	Circ(26;3.5.7.13)
YCQa`OSaaISSSSIIAacSSPPQaaaaa`PPOSSSaaaaIIISSSSSSSSIIII?	Circ(26;3.5.9.11)
YCQa`OSaaICSCSaIGa`CSCPQGaaGa`CPOPCSaGaaGaISPCSSPCSIGaI?	Circ(26;3.5.9.13)
YCQa`OSA_IOSOSgIIAdOST@OiA_iA_T@ODOS_iAaAgISDOSSDOSIAgI?	Circ(26;3.5.11.13)
YCQa`OSA_I?S_SoI[Ab_SM@O[A_[A_M@OB_S_[Aa@oISB_SSB_SI@oI?	Circ(26;3.5.12.13)
YCO_cRCW`aBCBC`aGW`BCCKOGWcGWeCKP`BCKGW_o`aP`BCP`BCGo`a?	Circ(26;3.7.8.13)
YCO_cPCgaaTCTCIaAgcTCPSQagaagdPSPSTCIag_iIaPSTCPSTCGiIa?	Circ(26;3.7.9.11)
YCO_cPCgaaDCDCaaGg`DCCSQGgaGgdCSPPDCIGg_gaaPPDCPPDCGgaa?	Circ(26;3.7.9.13)
YCO_cPCG_aPCPCgaIGdPCTCOiG_iGcTCPDPCGiG_agaPDPCPDPCGaga?	Circ(26;3.7.11.13)
YCO__QCO`AACaCpA[ObaCMGO[Oc[OaMGObaCC[O_PpAObaCObaCGPpA?	Circ(26;3.8.12.13)
YCO__OC_eA[C[CMAB_c[CpoRb_bb_`poO[[CBb__MMAO[[CO[[CGMMA?	Circ(26;3.9.10.11)
YCO__OC_aASCSCiAI_dSCTOQi_ai_`TOOTSCAi__IiAOTSCOTSCGIiA?	Circ(26;3.9.11.13)
Y?bFF`wN?{@w@w?{?N?@w?F_?N??NC?Fb?@ww?NF_?{N?@wN?@wF_?{?	Circ(26;4.5.6.7)
Y?bFB_wF?[?w?w_[GF@?wCB_GF?GF?CBa@?woGFF?_[M@?wM@?wF?_[?	Circ(26;4.5.6.13)
Y?bBD`WJ?k@W@W_kGJ@@WCD_GJ?GJCCD`@@WgGJE__kL@@WL@@WE__k?	Circ(26;4.5.7.13)
Y?bB@_WB?K?W_WoK[BB_WM@_[B?[B?M@_B_W_[BE@oKKB_WKB_WE@oK?	Circ(26;4.5.12.13)
Y?`DE`glAsDgDgAs?l?Dg?Ua?lA?lD?UbODgY?lDgAsJODgJODgDgAs?	Circ(26;4.6.7.9)
Y?`@C`GHCcHGHGccHH@HGcc`HH@HHCcc`HHGHHHCcccHHHGHHHGCccc?	Circ(26;4.7.10.13)
Y?AEFBo]@wBoBo@w?]?Bo?N??]C?]E?NB_Bo{?]Bo@wF_BoF_BoBo@w?	Circ(26;5.6.7.8)
Y?AEF@omAwDoDoAw?m?Do?VA?mA?mD?VBODoy?mBgAwFODoFODoBgAw?	Circ(26;5.6.7.9)
Y?AEB?oeAWCoCoaWGe@CoCRAGeAGe@CRAPCoqGeBGaWEPCoEPCoBGaW?	Circ(26;5.6.9.13)
Y?AAD@OiAgTOTOIgAiCTOPTAaiAaiDPT@STOiaiAiIgDSTODSTOAiIg?	Circ(26;5.7.9.11)
Y?AAD@OiAgDODOagGi@DOCTAGiAGiDCT@PDOiGiAgagDPDODPDOAgag?	Circ(26;5.7.9.13)
Y?AAD@OI?gPOPOggIIDPOTD?iI?iICTD@DPOgiIAaggDDPODDPOAagg?	Circ(26;5.7.11.13)
Y?AA@AOQ@GQOqOXGUQEqOZH?uQCuQAZH?eqOcuQARXGCeqOCeqOARXG?	Circ(26;5.8.11.12)
Y?AA@?OaAGSOSOiGIaDSOTPAiaAia@TP?TSOaiaAIiGCTSOCTSOAIiG?	Circ(26;5.9.11.13)
Y?AA@?OA?GOOoOwG]AFoO^@?}A?}A?^@?FoO_}AABwGCFoOCFoOABwG?	Circ(26;5.11.12.13)
Y??CAA_S@OQ_Q_hOISDQ_TI?iSCiSATIAdQ_SiS@QhOAdQ_AdQ_@QhO?	Circ(26;6.8.11.13)
Y???C@?gA_T?T?i_IgDT?TSAigAigDTS@TT?Iig?ii_@TT?@TT??ii_?	Circ(26;7.9.11.13)
Y???C@?GC_X?X?k_JGDX?tc@jG@jGCtc@LX?HjG?ek_@LX?@LX??ek_?	Circ(26;7.10.11.13)
Y????A?O@?Q?q?x?]OFq?^G?}OC}OA^G?fq?C}O?Rx??fq??fq??Rx??	Circ(26;8.11.12.13)
Y??????_E?[?{?]?V_E{?zoBv_Bv_@zo?]{?Bv_?N]??]{??]{??N]??	Circ(26;9.10.11.12)
Y??????_E?[?[?m?J_D[?toBj_Bj_@to?\[?Bj_?Mm??\[??\[??Mm??	Circ(26;9.10.11.13)
Y??????_E?K?k?u?\_Bk?moB\_B\_@mo?Zk?B\_?Lu??Zk??Zk??Lu??	Circ(26;9.10.12.13)
Y??????_A?S?s?y?]_Fs?^OA}_A}_@^O?Vs?A}_?Jy??Vs??Vs??Jy??	Circ(26;9.11.12.13)
Y???????C?W?w?{?^?Fw?~_@~?@~??~_?Nw?@~??F{??Nw??Nw??F{??	Circ(26;10.11.12.13)
YlUilTTiiidTDTAi_igDT?TU?ii?il?TTODTi?iigAitODTTODTigAi_	Circ(26;1.3.5.7.9)
YlUilTTIgipTPTGiaIkPTPDSaIgaIkPDTCPTgaIiaGitCPTTCPTiaGi_	Circ(26;1.3.5.7.11)
YlUilTTIgi`T@T_igIh@TCDSGIgGIkCDT@@TgGIi__it@@TT@@Ti__i_	Circ(26;1.3.5.7.13)
YlUihSTaiIsTSTIIaakSTPPUaaiaahPPSSSTaaaiIIIsSSTSSSTiIII_	Circ(26;1.3.5.9.11)
YlUihSTaiIcTCTaIgahCTCPUGaiGahCPSPCTaGaiGaIsPCTSPCTiGaI_	Circ(26;1.3.5.9.13)
YlUihSTAgIoTOTgIiAlOTT@SiAgiAgT@SDOT_iAiAgIsDOTSDOTiAgI_	Circ(26;1.3.5.11.13)
YlSgkTDgiatDTDIaagkTDPSUagiaglPSTSTDIaggiIapSTDPSTDgiIa_	Circ(26;1.3.7.9.11)
YlSgkTDgiadDDDaagghDDCSUGgiGglCSTPDDIGgggaapPDDPPDDggaa_	Circ(26;1.3.7.9.13)
