6 42
Z2xZ3xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
39 38 37 36 35 34 33 32 31 30 29 28 41 40 11 10 9 8 7 6 5 4 3 2 1 0 13 12 25 24 23 22 21 20 19 18 17 16 15 14 27 26
40 41 28 29 30 31 32 33 34 35 36 37 38 39 12 13 0 1 2 3 4 5 6 7 8 9 10 11 26 27 14 15 16 17 18 19 20 21 22 23 24 25
41 40 39 38 37 36 35 34 33 32 31 30 29 28 13 12 11 10 9 8 7 6 5 4 3 2 1 0 27 26 25 24 23 22 21 20 19 18 17 16 15 14
Z7:Z2xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
1 2 0 4 5 3 13 14 12 16 17 15 25 26 24 28 29 27 37 38 36 40 41 39 7 8 6 10 11 9 19 20 18 22 23 21 31 32 30 34 35 33
2 0 1 5 3 4 26 24 25 29 27 28 8 6 7 11 9 10 32 30 31 35 33 34 14 12 13 17 15 16 38 36 37 41 39 40 20 18 19 23 21 22
3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38
4 5 3 1 2 0 16 17 15 13 14 12 28 29 27 25 26 24 40 41 39 37 38 36 10 11 9 7 8 6 22 23 21 19 20 18 34 35 33 31 32 30
5 3 4 2 0 1 29 27 28 26 24 25 11 9 10 8 6 7 35 33 34 32 30 31 17 15 16 14 12 13 41 39 40 38 36 37 23 21 22 20 18 19
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5
7 8 6 10 11 9 19 20 18 22 23 21 31 32 30 34 35 33 1 2 0 4 5 3 13 14 12 16 17 15 25 26 24 28 29 27 37 38 36 40 41 39
8 6 7 11 9 10 32 30 31 35 33 34 14 12 13 17 15 16 38 36 37 41 39 40 20 18 19 23 21 22 2 0 1 5 3 4 26 24 25 29 27 28
9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 3 4 5 0 1 2
10 11 9 7 8 6 22 23 21 19 20 18 34 35 33 31 32 30 4 5 3 1 2 0 16 17 15 13 14 12 28 29 27 25 26 24 40 41 39 37 38 36
11 9 10 8 6 7 35 33 34 32 30 31 17 15 16 14 12 13 41 39 40 38 36 37 23 21 22 20 18 19 5 3 4 2 0 1 29 27 28 26 24 25
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 16 17 15 25 26 24 28 29 27 37 38 36 40 41 39 7 8 6 10 11 9 19 20 18 22 23 21 31 32 30 34 35 33 1 2 0 4 5 3
14 12 13 17 15 16 38 36 37 41 39 40 20 18 19 23 21 22 2 0 1 5 3 4 26 24 25 29 27 28 8 6 7 11 9 10 32 30 31 35 33 34
15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 3 4 5 0 1 2 9 10 11 6 7 8
16 17 15 13 14 12 28 29 27 25 26 24 40 41 39 37 38 36 10 11 9 7 8 6 22 23 21 19 20 18 34 35 33 31 32 30 4 5 3 1 2 0
17 15 16 14 12 13 41 39 40 38 36 37 23 21 22 20 18 19 5 3 4 2 0 1 29 27 28 26 24 25 11 9 10 8 6 7 35 33 34 32 30 31
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 22 23 21 31 32 30 34 35 33 1 2 0 4 5 3 13 14 12 16 17 15 25 26 24 28 29 27 37 38 36 40 41 39 7 8 6 10 11 9
20 18 19 23 21 22 2 0 1 5 3 4 26 24 25 29 27 28 8 6 7 11 9 10 32 30 31 35 33 34 14 12 13 17 15 16 38 36 37 41 39 40
21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14
22 23 21 19 20 18 34 35 33 31 32 30 4 5 3 1 2 0 16 17 15 13 14 12 28 29 27 25 26 24 40 41 39 37 38 36 10 11 9 7 8 6
23 21 22 20 18 19 5 3 4 2 0 1 29 27 28 26 24 25 11 9 10 8 6 7 35 33 34 32 30 31 17 15 16 14 12 13 41 39 40 38 36 37
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 37 38 36 40 41 39 7 8 6 10 11 9 19 20 18 22 23 21 31 32 30 34 35 33 1 2 0 4 5 3 13 14 12 16 17 15
26 24 25 29 27 28 8 6 7 11 9 10 32 30 31 35 33 34 14 12 13 17 15 16 38 36 37 41 39 40 20 18 19 23 21 22 2 0 1 5 3 4
27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20
28 29 27 25 26 24 40 41 39 37 38 36 10 11 9 7 8 6 22 23 21 19 20 18 34 35 33 31 32 30 4 5 3 1 2 0 16 17 15 13 14 12
29 27 28 26 24 25 11 9 10 8 6 7 35 33 34 32 30 31 17 15 16 14 12 13 41 39 40 38 36 37 23 21 22 20 18 19 5 3 4 2 0 1
30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 30 34 35 33 1 2 0 4 5 3 13 14 12 16 17 15 25 26 24 28 29 27 37 38 36 40 41 39 7 8 6 10 11 9 19 20 18 22 23 21
32 30 31 35 33 34 14 12 13 17 15 16 38 36 37 41 39 40 20 18 19 23 21 22 2 0 1 5 3 4 26 24 25 29 27 28 8 6 7 11 9 10
33 34 35 30 31 32 39 40 41 36 37 38 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26
34 35 33 31 32 30 4 5 3 1 2 0 16 17 15 13 14 12 28 29 27 25 26 24 40 41 39 37 38 36 10 11 9 7 8 6 22 23 21 19 20 18
35 33 34 32 30 31 17 15 16 14 12 13 41 39 40 38 36 37 23 21 22 20 18 19 5 3 4 2 0 1 29 27 28 26 24 25 11 9 10 8 6 7
36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 36 40 41 39 7 8 6 10 11 9 19 20 18 22 23 21 31 32 30 34 35 33 1 2 0 4 5 3 13 14 12 16 17 15 25 26 24 28 29 27
38 36 37 41 39 40 20 18 19 23 21 22 2 0 1 5 3 4 26 24 25 29 27 28 8 6 7 11 9 10 32 30 31 35 33 34 14 12 13 17 15 16
39 40 41 36 37 38 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32
40 41 39 37 38 36 10 11 9 7 8 6 22 23 21 19 20 18 34 35 33 31 32 30 4 5 3 1 2 0 16 17 15 13 14 12 28 29 27 25 26 24
41 39 40 38 36 37 23 21 22 20 18 19 5 3 4 2 0 1 29 27 28 26 24 25 11 9 10 8 6 7 35 33 34 32 30 31 17 15 16 14 12 13
Z7:Z2xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
1 2 0 4 5 3 25 26 24 28 29 27 7 8 6 10 11 9 31 32 30 34 35 33 13 14 12 16 17 15 37 38 36 40 41 39 19 20 18 22 23 21
2 0 1 5 3 4 14 12 13 17 15 16 26 24 25 29 27 28 38 36 37 41 39 40 8 6 7 11 9 10 20 18 19 23 21 22 32 30 31 35 33 34
3 4 5 0 1 2 39 40 41 36 37 38 33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8
4 5 3 1 2 0 22 23 21 19 20 18 40 41 39 37 38 36 16 17 15 13 14 12 34 35 33 31 32 30 10 11 9 7 8 6 28 29 27 25 26 24
5 3 4 2 0 1 35 33 34 32 30 31 23 21 22 20 18 19 11 9 10 8 6 7 41 39 40 38 36 37 29 27 28 26 24 25 17 15 16 14 12 13
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5
7 8 6 10 11 9 31 32 30 34 35 33 13 14 12 16 17 15 37 38 36 40 41 39 19 20 18 22 23 21 1 2 0 4 5 3 25 26 24 28 29 27
8 6 7 11 9 10 20 18 19 23 21 22 32 30 31 35 33 34 2 0 1 5 3 4 14 12 13 17 15 16 26 24 25 29 27 28 38 36 37 41 39 40
9 10 11 6 7 8 3 4 5 0 1 2 39 40 41 36 37 38 33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14
10 11 9 7 8 6 28 29 27 25 26 24 4 5 3 1 2 0 22 23 21 19 20 18 40 41 39 37 38 36 16 17 15 13 14 12 34 35 33 31 32 30
11 9 10 8 6 7 41 39 40 38 36 37 29 27 28 26 24 25 17 15 16 14 12 13 5 3 4 2 0 1 35 33 34 32 30 31 23 21 22 20 18 19
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 16 17 15 37 38 36 40 41 39 19 20 18 22 23 21 1 2 0 4 5 3 25 26 24 28 29 27 7 8 6 10 11 9 31 32 30 34 35 33
14 12 13 17 15 16 26 24 25 29 27 28 38 36 37 41 39 40 8 6 7 11 9 10 20 18 19 23 21 22 32 30 31 35 33 34 2 0 1 5 3 4
15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2 39 40 41 36 37 38 33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20
16 17 15 13 14 12 34 35 33 31 32 30 10 11 9 7 8 6 28 29 27 25 26 24 4 5 3 1 2 0 22 23 21 19 20 18 40 41 39 37 38 36
17 15 16 14 12 13 5 3 4 2 0 1 35 33 34 32 30 31 23 21 22 20 18 19 11 9 10 8 6 7 41 39 40 38 36 37 29 27 28 26 24 25
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 22 23 21 1 2 0 4 5 3 25 26 24 28 29 27 7 8 6 10 11 9 31 32 30 34 35 33 13 14 12 16 17 15 37 38 36 40 41 39
20 18 19 23 21 22 32 30 31 35 33 34 2 0 1 5 3 4 14 12 13 17 15 16 26 24 25 29 27 28 38 36 37 41 39 40 8 6 7 11 9 10
21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2 39 40 41 36 37 38 33 34 35 30 31 32 27 28 29 24 25 26
22 23 21 19 20 18 40 41 39 37 38 36 16 17 15 13 14 12 34 35 33 31 32 30 10 11 9 7 8 6 28 29 27 25 26 24 4 5 3 1 2 0
23 21 22 20 18 19 11 9 10 8 6 7 41 39 40 38 36 37 29 27 28 26 24 25 17 15 16 14 12 13 5 3 4 2 0 1 35 33 34 32 30 31
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 7 8 6 10 11 9 31 32 30 34 35 33 13 14 12 16 17 15 37 38 36 40 41 39 19 20 18 22 23 21 1 2 0 4 5 3
26 24 25 29 27 28 38 36 37 41 39 40 8 6 7 11 9 10 20 18 19 23 21 22 32 30 31 35 33 34 2 0 1 5 3 4 14 12 13 17 15 16
27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2 39 40 41 36 37 38 33 34 35 30 31 32
28 29 27 25 26 24 4 5 3 1 2 0 22 23 21 19 20 18 40 41 39 37 38 36 16 17 15 13 14 12 34 35 33 31 32 30 10 11 9 7 8 6
29 27 28 26 24 25 17 15 16 14 12 13 5 3 4 2 0 1 35 33 34 32 30 31 23 21 22 20 18 19 11 9 10 8 6 7 41 39 40 38 36 37
30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 30 34 35 33 13 14 12 16 17 15 37 38 36 40 41 39 19 20 18 22 23 21 1 2 0 4 5 3 25 26 24 28 29 27 7 8 6 10 11 9
32 30 31 35 33 34 2 0 1 5 3 4 14 12 13 17 15 16 26 24 25 29 27 28 38 36 37 41 39 40 8 6 7 11 9 10 20 18 19 23 21 22
33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2 39 40 41 36 37 38
34 35 33 31 32 30 10 11 9 7 8 6 28 29 27 25 26 24 4 5 3 1 2 0 22 23 21 19 20 18 40 41 39 37 38 36 16 17 15 13 14 12
35 33 34 32 30 31 23 21 22 20 18 19 11 9 10 8 6 7 41 39 40 38 36 37 29 27 28 26 24 25 17 15 16 14 12 13 5 3 4 2 0 1
36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 36 40 41 39 19 20 18 22 23 21 1 2 0 4 5 3 25 26 24 28 29 27 7 8 6 10 11 9 31 32 30 34 35 33 13 14 12 16 17 15
38 36 37 41 39 40 8 6 7 11 9 10 20 18 19 23 21 22 32 30 31 35 33 34 2 0 1 5 3 4 14 12 13 17 15 16 26 24 25 29 27 28
39 40 41 36 37 38 33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2
40 41 39 37 38 36 16 17 15 13 14 12 34 35 33 31 32 30 10 11 9 7 8 6 28 29 27 25 26 24 4 5 3 1 2 0 22 23 21 19 20 18
41 39 40 38 36 37 29 27 28 26 24 25 17 15 16 14 12 13 5 3 4 2 0 1 35 33 34 32 30 31 23 21 22 20 18 19 11 9 10 8 6 7
