4 44
Z4xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8
30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10
32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12
34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14
36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16
38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18
40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20
42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22
