14 36
Z4xZ9
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4
22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6
24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8
26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10
28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12
30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14
32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18 35 16
34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20 1 18
Z3:Z4xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
3 4 5 6 7 8 9 10 11 0 1 2 27 28 29 30 31 32 33 34 35 24 25 26 15 16 17 18 19 20 21 22 23 12 13 14
4 5 3 7 8 6 10 11 9 1 2 0 28 29 27 31 32 30 34 35 33 25 26 24 16 17 15 19 20 18 22 23 21 13 14 12
5 3 4 8 6 7 11 9 10 2 0 1 29 27 28 32 30 31 35 33 34 26 24 25 17 15 16 20 18 19 23 21 22 14 12 13
6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29
7 8 6 10 11 9 1 2 0 4 5 3 19 20 18 22 23 21 13 14 12 16 17 15 31 32 30 34 35 33 25 26 24 28 29 27
8 6 7 11 9 10 2 0 1 5 3 4 20 18 19 23 21 22 14 12 13 17 15 16 32 30 31 35 33 34 26 24 25 29 27 28
9 10 11 0 1 2 3 4 5 6 7 8 33 34 35 24 25 26 27 28 29 30 31 32 21 22 23 12 13 14 15 16 17 18 19 20
10 11 9 1 2 0 4 5 3 7 8 6 34 35 33 25 26 24 28 29 27 31 32 30 22 23 21 13 14 12 16 17 15 19 20 18
11 9 10 2 0 1 5 3 4 8 6 7 35 33 34 26 24 25 29 27 28 32 30 31 23 21 22 14 12 13 17 15 16 20 18 19
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9
14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10
15 16 17 18 19 20 21 22 23 12 13 14 3 4 5 6 7 8 9 10 11 0 1 2 27 28 29 30 31 32 33 34 35 24 25 26
16 17 15 19 20 18 22 23 21 13 14 12 4 5 3 7 8 6 10 11 9 1 2 0 28 29 27 31 32 30 34 35 33 25 26 24
17 15 16 20 18 19 23 21 22 14 12 13 5 3 4 8 6 7 11 9 10 2 0 1 29 27 28 32 30 31 35 33 34 26 24 25
18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29 6 7 8 9 10 11 0 1 2 3 4 5
19 20 18 22 23 21 13 14 12 16 17 15 31 32 30 34 35 33 25 26 24 28 29 27 7 8 6 10 11 9 1 2 0 4 5 3
20 18 19 23 21 22 14 12 13 17 15 16 32 30 31 35 33 34 26 24 25 29 27 28 8 6 7 11 9 10 2 0 1 5 3 4
21 22 23 12 13 14 15 16 17 18 19 20 9 10 11 0 1 2 3 4 5 6 7 8 33 34 35 24 25 26 27 28 29 30 31 32
22 23 21 13 14 12 16 17 15 19 20 18 10 11 9 1 2 0 4 5 3 7 8 6 34 35 33 25 26 24 28 29 27 31 32 30
23 21 22 14 12 13 17 15 16 20 18 19 11 9 10 2 0 1 5 3 4 8 6 7 35 33 34 26 24 25 29 27 28 32 30 31
24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21
26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22
27 28 29 30 31 32 33 34 35 24 25 26 15 16 17 18 19 20 21 22 23 12 13 14 3 4 5 6 7 8 9 10 11 0 1 2
28 29 27 31 32 30 34 35 33 25 26 24 16 17 15 19 20 18 22 23 21 13 14 12 4 5 3 7 8 6 10 11 9 1 2 0
29 27 28 32 30 31 35 33 34 26 24 25 17 15 16 20 18 19 23 21 22 14 12 13 5 3 4 8 6 7 11 9 10 2 0 1
30 31 32 33 34 35 24 25 26 27 28 29 6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17
31 32 30 34 35 33 25 26 24 28 29 27 7 8 6 10 11 9 1 2 0 4 5 3 19 20 18 22 23 21 13 14 12 16 17 15
32 30 31 35 33 34 26 24 25 29 27 28 8 6 7 11 9 10 2 0 1 5 3 4 20 18 19 23 21 22 14 12 13 17 15 16
33 34 35 24 25 26 27 28 29 30 31 32 21 22 23 12 13 14 15 16 17 18 19 20 9 10 11 0 1 2 3 4 5 6 7 8
34 35 33 25 26 24 28 29 27 31 32 30 22 23 21 13 14 12 16 17 15 19 20 18 10 11 9 1 2 0 4 5 3 7 8 6
35 33 34 26 24 25 29 27 28 32 30 31 23 21 22 14 12 13 17 15 16 20 18 19 11 9 10 2 0 1 5 3 4 8 6 7
Z3:Z2xZ2xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32
4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30
5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31
6 7 8 9 10 11 0 1 2 3 4 5 30 31 32 33 34 35 24 25 26 27 28 29 18 19 20 21 22 23 12 13 14 15 16 17
7 8 6 10 11 9 1 2 0 4 5 3 31 32 30 34 35 33 25 26 24 28 29 27 19 20 18 22 23 21 13 14 12 16 17 15
8 6 7 11 9 10 2 0 1 5 3 4 32 30 31 35 33 34 26 24 25 29 27 28 20 18 19 23 21 22 14 12 13 17 15 16
9 10 11 6 7 8 3 4 5 0 1 2 33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14
10 11 9 7 8 6 4 5 3 1 2 0 34 35 33 31 32 30 28 29 27 25 26 24 22 23 21 19 20 18 16 17 15 13 14 12
11 9 10 8 6 7 5 3 4 2 0 1 35 33 34 32 30 31 29 27 28 26 24 25 23 21 22 20 18 19 17 15 16 14 12 13
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9
14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10
15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 3 4 5 0 1 2 9 10 11 6 7 8
16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30 4 5 3 1 2 0 10 11 9 7 8 6
17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31 5 3 4 2 0 1 11 9 10 8 6 7
18 19 20 21 22 23 12 13 14 15 16 17 6 7 8 9 10 11 0 1 2 3 4 5 30 31 32 33 34 35 24 25 26 27 28 29
19 20 18 22 23 21 13 14 12 16 17 15 7 8 6 10 11 9 1 2 0 4 5 3 31 32 30 34 35 33 25 26 24 28 29 27
20 18 19 23 21 22 14 12 13 17 15 16 8 6 7 11 9 10 2 0 1 5 3 4 32 30 31 35 33 34 26 24 25 29 27 28
21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2 33 34 35 30 31 32 27 28 29 24 25 26
22 23 21 19 20 18 16 17 15 13 14 12 10 11 9 7 8 6 4 5 3 1 2 0 34 35 33 31 32 30 28 29 27 25 26 24
23 21 22 20 18 19 17 15 16 14 12 13 11 9 10 8 6 7 5 3 4 2 0 1 35 33 34 32 30 31 29 27 28 26 24 25
24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21
26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22
27 28 29 24 25 26 33 34 35 30 31 32 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20
28 29 27 25 26 24 34 35 33 31 32 30 4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18
29 27 28 26 24 25 35 33 34 32 30 31 5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19
30 31 32 33 34 35 24 25 26 27 28 29 18 19 20 21 22 23 12 13 14 15 16 17 6 7 8 9 10 11 0 1 2 3 4 5
31 32 30 34 35 33 25 26 24 28 29 27 19 20 18 22 23 21 13 14 12 16 17 15 7 8 6 10 11 9 1 2 0 4 5 3
32 30 31 35 33 34 26 24 25 29 27 28 20 18 19 23 21 22 14 12 13 17 15 16 8 6 7 11 9 10 2 0 1 5 3 4
33 34 35 30 31 32 27 28 29 24 25 26 21 22 23 18 19 20 15 16 17 12 13 14 9 10 11 6 7 8 3 4 5 0 1 2
34 35 33 31 32 30 28 29 27 25 26 24 22 23 21 19 20 18 16 17 15 13 14 12 10 11 9 7 8 6 4 5 3 1 2 0
35 33 34 32 30 31 29 27 28 26 24 25 23 21 22 20 18 19 17 15 16 14 12 13 11 9 10 8 6 7 5 3 4 2 0 1
Z3:D12
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 0 11 10 9 8 7 6 5 4 3 2 25 24 35 34 33 32 31 30 29 28 27 26 13 12 23 22 21 20 19 18 17 16 15 14
2 3 4 5 6 7 8 9 10 11 0 1 14 15 16 17 18 19 20 21 22 23 12 13 26 27 28 29 30 31 32 33 34 35 24 25
3 2 1 0 11 10 9 8 7 6 5 4 27 26 25 24 35 34 33 32 31 30 29 28 15 14 13 12 23 22 21 20 19 18 17 16
4 5 6 7 8 9 10 11 0 1 2 3 16 17 18 19 20 21 22 23 12 13 14 15 28 29 30 31 32 33 34 35 24 25 26 27
5 4 3 2 1 0 11 10 9 8 7 6 29 28 27 26 25 24 35 34 33 32 31 30 17 16 15 14 13 12 23 22 21 20 19 18
6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29
7 6 5 4 3 2 1 0 11 10 9 8 31 30 29 28 27 26 25 24 35 34 33 32 19 18 17 16 15 14 13 12 23 22 21 20
8 9 10 11 0 1 2 3 4 5 6 7 20 21 22 23 12 13 14 15 16 17 18 19 32 33 34 35 24 25 26 27 28 29 30 31
9 8 7 6 5 4 3 2 1 0 11 10 33 32 31 30 29 28 27 26 25 24 35 34 21 20 19 18 17 16 15 14 13 12 23 22
10 11 0 1 2 3 4 5 6 7 8 9 22 23 12 13 14 15 16 17 18 19 20 21 34 35 24 25 26 27 28 29 30 31 32 33
11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 12 23 22 21 20 19 18 17 16 15 14 1 0 11 10 9 8 7 6 5 4 3 2 25 24 35 34 33 32 31 30 29 28 27 26
14 15 16 17 18 19 20 21 22 23 12 13 26 27 28 29 30 31 32 33 34 35 24 25 2 3 4 5 6 7 8 9 10 11 0 1
15 14 13 12 23 22 21 20 19 18 17 16 3 2 1 0 11 10 9 8 7 6 5 4 27 26 25 24 35 34 33 32 31 30 29 28
16 17 18 19 20 21 22 23 12 13 14 15 28 29 30 31 32 33 34 35 24 25 26 27 4 5 6 7 8 9 10 11 0 1 2 3
17 16 15 14 13 12 23 22 21 20 19 18 5 4 3 2 1 0 11 10 9 8 7 6 29 28 27 26 25 24 35 34 33 32 31 30
18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29 6 7 8 9 10 11 0 1 2 3 4 5
19 18 17 16 15 14 13 12 23 22 21 20 7 6 5 4 3 2 1 0 11 10 9 8 31 30 29 28 27 26 25 24 35 34 33 32
20 21 22 23 12 13 14 15 16 17 18 19 32 33 34 35 24 25 26 27 28 29 30 31 8 9 10 11 0 1 2 3 4 5 6 7
21 20 19 18 17 16 15 14 13 12 23 22 9 8 7 6 5 4 3 2 1 0 11 10 33 32 31 30 29 28 27 26 25 24 35 34
22 23 12 13 14 15 16 17 18 19 20 21 34 35 24 25 26 27 28 29 30 31 32 33 10 11 0 1 2 3 4 5 6 7 8 9
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 35 34 33 32 31 30 29 28 27 26 13 12 23 22 21 20 19 18 17 16 15 14 1 0 11 10 9 8 7 6 5 4 3 2
26 27 28 29 30 31 32 33 34 35 24 25 2 3 4 5 6 7 8 9 10 11 0 1 14 15 16 17 18 19 20 21 22 23 12 13
27 26 25 24 35 34 33 32 31 30 29 28 15 14 13 12 23 22 21 20 19 18 17 16 3 2 1 0 11 10 9 8 7 6 5 4
28 29 30 31 32 33 34 35 24 25 26 27 4 5 6 7 8 9 10 11 0 1 2 3 16 17 18 19 20 21 22 23 12 13 14 15
29 28 27 26 25 24 35 34 33 32 31 30 17 16 15 14 13 12 23 22 21 20 19 18 5 4 3 2 1 0 11 10 9 8 7 6
30 31 32 33 34 35 24 25 26 27 28 29 6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17
31 30 29 28 27 26 25 24 35 34 33 32 19 18 17 16 15 14 13 12 23 22 21 20 7 6 5 4 3 2 1 0 11 10 9 8
32 33 34 35 24 25 26 27 28 29 30 31 8 9 10 11 0 1 2 3 4 5 6 7 20 21 22 23 12 13 14 15 16 17 18 19
33 32 31 30 29 28 27 26 25 24 35 34 21 20 19 18 17 16 15 14 13 12 23 22 9 8 7 6 5 4 3 2 1 0 11 10
34 35 24 25 26 27 28 29 30 31 32 33 10 11 0 1 2 3 4 5 6 7 8 9 22 23 12 13 14 15 16 17 18 19 20 21
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Z3:D12
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 0 11 10 9 8 7 6 5 4 3 2 13 12 23 22 21 20 19 18 17 16 15 14 25 24 35 34 33 32 31 30 29 28 27 26
2 3 4 5 6 7 8 9 10 11 0 1 26 27 28 29 30 31 32 33 34 35 24 25 14 15 16 17 18 19 20 21 22 23 12 13
3 2 1 0 11 10 9 8 7 6 5 4 27 26 25 24 35 34 33 32 31 30 29 28 15 14 13 12 23 22 21 20 19 18 17 16
4 5 6 7 8 9 10 11 0 1 2 3 16 17 18 19 20 21 22 23 12 13 14 15 28 29 30 31 32 33 34 35 24 25 26 27
5 4 3 2 1 0 11 10 9 8 7 6 17 16 15 14 13 12 23 22 21 20 19 18 29 28 27 26 25 24 35 34 33 32 31 30
6 7 8 9 10 11 0 1 2 3 4 5 30 31 32 33 34 35 24 25 26 27 28 29 18 19 20 21 22 23 12 13 14 15 16 17
7 6 5 4 3 2 1 0 11 10 9 8 31 30 29 28 27 26 25 24 35 34 33 32 19 18 17 16 15 14 13 12 23 22 21 20
8 9 10 11 0 1 2 3 4 5 6 7 20 21 22 23 12 13 14 15 16 17 18 19 32 33 34 35 24 25 26 27 28 29 30 31
9 8 7 6 5 4 3 2 1 0 11 10 21 20 19 18 17 16 15 14 13 12 23 22 33 32 31 30 29 28 27 26 25 24 35 34
10 11 0 1 2 3 4 5 6 7 8 9 34 35 24 25 26 27 28 29 30 31 32 33 22 23 12 13 14 15 16 17 18 19 20 21
11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 12 23 22 21 20 19 18 17 16 15 14 25 24 35 34 33 32 31 30 29 28 27 26 1 0 11 10 9 8 7 6 5 4 3 2
14 15 16 17 18 19 20 21 22 23 12 13 2 3 4 5 6 7 8 9 10 11 0 1 26 27 28 29 30 31 32 33 34 35 24 25
15 14 13 12 23 22 21 20 19 18 17 16 3 2 1 0 11 10 9 8 7 6 5 4 27 26 25 24 35 34 33 32 31 30 29 28
16 17 18 19 20 21 22 23 12 13 14 15 28 29 30 31 32 33 34 35 24 25 26 27 4 5 6 7 8 9 10 11 0 1 2 3
17 16 15 14 13 12 23 22 21 20 19 18 29 28 27 26 25 24 35 34 33 32 31 30 5 4 3 2 1 0 11 10 9 8 7 6
18 19 20 21 22 23 12 13 14 15 16 17 6 7 8 9 10 11 0 1 2 3 4 5 30 31 32 33 34 35 24 25 26 27 28 29
19 18 17 16 15 14 13 12 23 22 21 20 7 6 5 4 3 2 1 0 11 10 9 8 31 30 29 28 27 26 25 24 35 34 33 32
20 21 22 23 12 13 14 15 16 17 18 19 32 33 34 35 24 25 26 27 28 29 30 31 8 9 10 11 0 1 2 3 4 5 6 7
21 20 19 18 17 16 15 14 13 12 23 22 33 32 31 30 29 28 27 26 25 24 35 34 9 8 7 6 5 4 3 2 1 0 11 10
22 23 12 13 14 15 16 17 18 19 20 21 10 11 0 1 2 3 4 5 6 7 8 9 34 35 24 25 26 27 28 29 30 31 32 33
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 35 34 33 32 31 30 29 28 27 26 1 0 11 10 9 8 7 6 5 4 3 2 13 12 23 22 21 20 19 18 17 16 15 14
26 27 28 29 30 31 32 33 34 35 24 25 14 15 16 17 18 19 20 21 22 23 12 13 2 3 4 5 6 7 8 9 10 11 0 1
27 26 25 24 35 34 33 32 31 30 29 28 15 14 13 12 23 22 21 20 19 18 17 16 3 2 1 0 11 10 9 8 7 6 5 4
28 29 30 31 32 33 34 35 24 25 26 27 4 5 6 7 8 9 10 11 0 1 2 3 16 17 18 19 20 21 22 23 12 13 14 15
29 28 27 26 25 24 35 34 33 32 31 30 5 4 3 2 1 0 11 10 9 8 7 6 17 16 15 14 13 12 23 22 21 20 19 18
30 31 32 33 34 35 24 25 26 27 28 29 18 19 20 21 22 23 12 13 14 15 16 17 6 7 8 9 10 11 0 1 2 3 4 5
31 30 29 28 27 26 25 24 35 34 33 32 19 18 17 16 15 14 13 12 23 22 21 20 7 6 5 4 3 2 1 0 11 10 9 8
32 33 34 35 24 25 26 27 28 29 30 31 8 9 10 11 0 1 2 3 4 5 6 7 20 21 22 23 12 13 14 15 16 17 18 19
33 32 31 30 29 28 27 26 25 24 35 34 9 8 7 6 5 4 3 2 1 0 11 10 21 20 19 18 17 16 15 14 13 12 23 22
34 35 24 25 26 27 28 29 30 31 32 33 22 23 12 13 14 15 16 17 18 19 20 21 10 11 0 1 2 3 4 5 6 7 8 9
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Z3:Dic3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 6 11 4 9 2 7 0 5 10 3 8 25 30 35 28 33 26 31 24 29 34 27 32 13 18 23 16 21 14 19 12 17 22 15 20
2 3 4 5 6 7 8 9 10 11 0 1 14 15 16 17 18 19 20 21 22 23 12 13 26 27 28 29 30 31 32 33 34 35 24 25
3 8 1 6 11 4 9 2 7 0 5 10 27 32 25 30 35 28 33 26 31 24 29 34 15 20 13 18 23 16 21 14 19 12 17 22
4 5 6 7 8 9 10 11 0 1 2 3 16 17 18 19 20 21 22 23 12 13 14 15 28 29 30 31 32 33 34 35 24 25 26 27
5 10 3 8 1 6 11 4 9 2 7 0 29 34 27 32 25 30 35 28 33 26 31 24 17 22 15 20 13 18 23 16 21 14 19 12
6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29
7 0 5 10 3 8 1 6 11 4 9 2 31 24 29 34 27 32 25 30 35 28 33 26 19 12 17 22 15 20 13 18 23 16 21 14
8 9 10 11 0 1 2 3 4 5 6 7 20 21 22 23 12 13 14 15 16 17 18 19 32 33 34 35 24 25 26 27 28 29 30 31
9 2 7 0 5 10 3 8 1 6 11 4 33 26 31 24 29 34 27 32 25 30 35 28 21 14 19 12 17 22 15 20 13 18 23 16
10 11 0 1 2 3 4 5 6 7 8 9 22 23 12 13 14 15 16 17 18 19 20 21 34 35 24 25 26 27 28 29 30 31 32 33
11 4 9 2 7 0 5 10 3 8 1 6 35 28 33 26 31 24 29 34 27 32 25 30 23 16 21 14 19 12 17 22 15 20 13 18
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 18 23 16 21 14 19 12 17 22 15 20 1 6 11 4 9 2 7 0 5 10 3 8 25 30 35 28 33 26 31 24 29 34 27 32
14 15 16 17 18 19 20 21 22 23 12 13 26 27 28 29 30 31 32 33 34 35 24 25 2 3 4 5 6 7 8 9 10 11 0 1
15 20 13 18 23 16 21 14 19 12 17 22 3 8 1 6 11 4 9 2 7 0 5 10 27 32 25 30 35 28 33 26 31 24 29 34
16 17 18 19 20 21 22 23 12 13 14 15 28 29 30 31 32 33 34 35 24 25 26 27 4 5 6 7 8 9 10 11 0 1 2 3
17 22 15 20 13 18 23 16 21 14 19 12 5 10 3 8 1 6 11 4 9 2 7 0 29 34 27 32 25 30 35 28 33 26 31 24
18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29 6 7 8 9 10 11 0 1 2 3 4 5
19 12 17 22 15 20 13 18 23 16 21 14 7 0 5 10 3 8 1 6 11 4 9 2 31 24 29 34 27 32 25 30 35 28 33 26
20 21 22 23 12 13 14 15 16 17 18 19 32 33 34 35 24 25 26 27 28 29 30 31 8 9 10 11 0 1 2 3 4 5 6 7
21 14 19 12 17 22 15 20 13 18 23 16 9 2 7 0 5 10 3 8 1 6 11 4 33 26 31 24 29 34 27 32 25 30 35 28
22 23 12 13 14 15 16 17 18 19 20 21 34 35 24 25 26 27 28 29 30 31 32 33 10 11 0 1 2 3 4 5 6 7 8 9
23 16 21 14 19 12 17 22 15 20 13 18 11 4 9 2 7 0 5 10 3 8 1 6 35 28 33 26 31 24 29 34 27 32 25 30
