5 52
Z4xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32
32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34
34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38
38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40
40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42
42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44
44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46
46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48
48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50
50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Dic13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1
3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3
5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5
7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7
9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9
11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11
13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6
32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8
34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10
36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14 39 12
38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16 41 14
40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18 43 16
42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20 45 18
44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22 47 20
46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24 49 22
48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26 51 24
50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
51 24 49 22 47 20 45 18 43 16 41 14 39 12 37 10 35 8 33 6 31 4 29 2 27 0 25 50 23 48 21 46 19 44 17 42 15 40 13 38 11 36 9 34 7 32 5 30 3 28 1 26
Z13:Z4
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32
2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5
3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3
5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36
6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9
7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7
9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40
10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13
11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11
13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44
14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17
15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48
18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21
19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0
22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25
23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4
26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29
27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8
30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33
31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50
32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12
34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37
35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2
36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16
38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45 42 43 40 41
39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6
40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20
42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49 46 47 44 45
43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10
44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28 49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24
46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1 50 51 48 49
47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18 51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14
48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
49 50 51 48 17 18 19 16 37 38 39 36 5 6 7 4 25 26 27 24 45 46 47 44 13 14 15 12 33 34 35 32 1 2 3 0 21 22 23 20 41 42 43 40 9 10 11 8 29 30 31 28
50 51 48 49 46 47 44 45 42 43 40 41 38 39 36 37 34 35 32 33 30 31 28 29 26 27 24 25 22 23 20 21 18 19 16 17 14 15 12 13 10 11 8 9 6 7 4 5 2 3 0 1
51 48 49 50 31 28 29 30 11 8 9 10 43 40 41 42 23 20 21 22 3 0 1 2 35 32 33 34 15 12 13 14 47 44 45 46 27 24 25 26 7 4 5 6 39 36 37 38 19 16 17 18
