g6	n	Q	bip	dist	Rnum	Rden	R	w
K??E@_qBuZ^_	12	21	14	33	825	91	9.0659	0,2,2,1,1,1,3,2,2,3,1,3
K??E@c}NeY^_	12	24	18	27	675	126	5.3571	1,2,1,2,1,2,3,3,1,2,3,3
K??EF?^Fp{^_	12	20	12	19	475	100	4.7500	1,2,2,0,1,2,2,3,1,1,3,2
K??E@_NNeY^_	12	20	12	27	675	100	6.7500	1,2,1,2,0,2,2,2,3,2,2,1
K??E@_qBuZ^_	12	22	16	33	825	84	9.8214	2,0,0,3,0,2,3,2,2,3,2,3
K??E@c}NeY^_	12	25	18	27	675	175	3.8571	3,0,0,3,0,4,3,3,2,1,3,3
K??EF?^Fp{^_	12	21	12	19	475	141	3.3688	0,2,3,0,1,2,3,2,2,1,2,3
*** psi >= 1/25 : K??FF?^Fvw^_ Q=20 bip=16 dist=0 w=1,1,2,1,2,1,2,2,2,2,1,3
*** psi >= 1/25 : K??FF?^Fvw^_ Q=20 bip=16 dist=0 w=1,1,2,0,3,1,2,2,2,2,1,3
*** psi >= 1/25 : K??FF?^Fvw^_ Q=20 bip=16 dist=0 w=1,1,2,0,2,2,2,2,2,2,1,3
*** psi >= 1/25 : K??FF?^Fvw^_ Q=20 bip=16 dist=0 w=1,1,2,1,2,1,2,2,2,2,2,2
*** psi >= 1/25 : K??FF?^Fvw^_ Q=20 bip=16 dist=0 w=1,1,2,0,3,1,2,2,2,2,2,2
*** psi >= 1/25 : K??FF?^Fvw^_ Q=20 bip=16 dist=0 w=1,1,2,0,2,2,2,2,2,2,2,2
K??E@_NNeY^_	12	21	14	33	825	91	9.0659	3,0,2,1,0,1,3,3,2,2,2,2
*** psi >= 1/25 : K??FF?^Fvw^_ Q=25 bip=25 dist=0 w=3,0,2,0,2,3,2,3,2,3,3,2
*** psi >= 1/25 : K??FF?^Fvw^_ Q=25 bip=25 dist=0 w=3,0,2,0,2,3,2,3,1,4,3,2
*** psi >= 1/25 : K??FF?^Fvw^_ Q=25 bip=25 dist=0 w=3,0,2,0,2,3,3,2,2,3,3,2
*** psi >= 1/25 : K??FF?^Fvw^_ Q=25 bip=25 dist=0 w=3,0,2,0,2,3,3,2,1,4,3,2
K??E@_qBuZ^_	12	23	17	36	900	104	8.6538	1,2,1,2,1,2,3,2,2,3,1,3
K??EF?^Fp{^_	12	22	15	19	475	109	4.3578	1,2,3,0,1,2,2,3,1,2,3,2
K??E@_NNeY^_	12	22	15	32	800	109	7.3394	1,2,1,2,0,1,3,2,3,2,3,2
K??EF?^Fp{^_	12	23	15	24	600	154	3.8961	2,2,3,0,1,2,2,3,1,2,3,2
K??E@_qBuZ^_	12	24	18	45	1125	126	8.9286	1,2,1,2,1,2,3,3,3,3,0,3
K??E@_NNeY^_	12	23	16	36	900	129	6.9767	1,3,2,1,0,2,2,3,3,2,2,2
K??EF?^Fp{^_	12	24	18	27	675	126	5.3571	1,2,3,0,1,2,3,3,1,2,3,3
K?AAF?^^DsFo	12	20	13	28	700	75	9.3333	3,3,1,0,2,2,2,1,1,2,2,1
K??EF?^Fp{^_	12	25	18	26	650	175	3.7143	3,2,4,0,1,2,2,2,2,2,3,2
K??E@_qBuZ^_	12	25	21	39	975	100	9.7500	1,2,2,2,1,2,3,2,2,3,2,3
K??E@_NNeY]C	12	20	12	27	675	100	6.7500	1,2,1,2,1,2,2,2,2,2,2,1
K??E@_NNeY^_	12	24	18	45	1125	126	8.9286	1,2,1,2,0,0,3,3,3,3,3,3
K?AAF?^^DsFo	12	21	14	34	850	91	9.3407	3,2,1,0,1,2,3,2,1,3,2,1
K??EDaoRX{^_	12	20	12	27	675	100	6.7500	1,2,0,2,1,2,3,3,0,2,2,2
K??E@_NNeY]C	12	21	14	33	825	91	9.0659	2,1,0,3,0,2,2,2,1,3,3,2
K??E@_NNeY^_	12	25	21	39	975	100	9.7500	1,2,4,0,0,2,3,3,3,2,3,2
K??EDaoRX{^_	12	21	14	33	825	91	9.0659	2,2,0,2,0,2,3,1,2,3,3,1
K??E@_NNeY]C	12	22	16	33	825	84	9.8214	1,2,0,3,0,2,2,2,2,3,3,2
K?AAF?^^DsFo	12	22	16	31	775	84	9.2262	3,3,1,0,2,2,3,1,1,3,2,1
K??EDaoRX{^_	12	22	16	33	825	84	9.8214	2,2,0,2,1,1,3,0,3,3,3,2
K??ED`LNfw^_	12	20	12	27	675	100	6.7500	1,2,0,2,1,2,3,3,2,2,1,1
K??E@_NNeY]C	12	23	17	36	900	104	8.6538	0,3,1,2,1,2,2,3,1,3,3,2
K?AAF?^^DsFo	12	23	17	37	925	104	8.8942	3,3,2,0,1,3,2,1,2,2,3,1
K??EDaoRX{^_	12	23	18	33	825	79	10.4430	2,2,1,1,1,1,3,2,1,3,3,3
K??ED`LNfw^_	12	21	14	33	825	91	9.0659	2,2,0,2,0,2,3,3,3,3,0,1
K??E@_NNeY]C	12	24	18	45	1125	126	8.9286	1,2,1,2,1,2,3,3,0,3,3,3
K??ED`LNfw^_	12	22	16	33	825	84	9.8214	2,2,2,0,0,2,3,3,3,3,1,1
K??EDaoRX{^_	12	24	18	45	1125	126	8.9286	3,3,1,2,0,3,3,3,0,3,3,0
K?AAF?^^DsFo	12	24	19	44	1100	101	10.8911	3,3,1,0,1,3,3,2,1,3,3,1
K??E@_NNeY]C	12	25	21	39	975	100	9.7500	1,2,2,2,1,2,3,2,2,3,3,2
K??ED`LNfw^_	12	23	17	36	900	104	8.6538	2,2,1,2,1,2,3,3,3,3,0,1
K??EDaoRX{^_	12	25	21	39	975	100	9.7500	2,2,0,3,1,2,4,1,2,3,3,2
K?AAF?^^DsFo	12	25	21	39	975	100	9.7500	3,2,3,0,0,3,4,2,2,3,3,0
K??ED`LN`{^_	12	20	12	27	675	100	6.7500	1,2,0,2,1,2,3,3,2,1,1,2
K??E@f_FmY^_	12	20	13	25	625	75	8.3333	0,1,2,1,0,2,1,3,3,2,2,3
K??ED`LNfw^_	12	24	18	45	1125	126	8.9286	3,3,1,2,1,2,3,3,3,3,0,0
K?AEF@c}?vFo	12	20	13	29	725	75	9.6667	3,1,1,0,3,2,1,1,3,2,2,1
K??E@f_FmY^_	12	21	15	24	600	66	9.0909	0,2,2,1,2,1,1,2,3,3,2,2
K??ED`LN`{^_	12	21	14	33	825	91	9.0659	2,2,0,2,0,2,3,3,3,2,1,1
K??ED`LNfw^_	12	25	21	39	975	100	9.7500	2,2,1,2,1,2,4,3,3,3,0,2
K??E@f_FmY^_	12	22	15	32	800	109	7.3394	0,2,3,1,1,2,2,3,3,2,2,1
K??ED`LN`{^_	12	22	16	33	825	84	9.8214	2,2,1,1,2,0,3,3,3,0,3,2
K?AEF@c}?vFo	12	21	14	34	850	91	9.3407	3,1,1,1,2,2,1,1,3,2,2,2
K??E@c}rVw^_	12	20	12	19	475	100	4.7500	0,2,0,2,1,2,3,3,2,2,2,1
K??E@f_FmY^_	12	23	16	38	950	129	7.3643	0,2,3,1,2,2,2,3,3,2,2,1
K??E@c}rVw^_	12	21	12	19	475	141	3.3688	1,1,2,1,0,3,3,3,2,2,0,3
K??ED`LN`{^_	12	23	17	36	900	104	8.6538	2,2,1,2,1,2,3,3,3,1,2,1
K?AEF@c}?vFo	12	22	16	32	800	84	9.5238	3,1,1,1,2,2,2,0,3,3,2,2
K??E@c}rVw^_	12	22	15	19	475	109	4.3578	1,2,1,2,1,2,3,3,2,2,2,1
K??E@f_FmY^_	12	24	19	41	1025	101	10.1485	2,0,2,2,0,3,1,3,3,3,3,2
K??E@c}rVw^_	12	23	15	24	600	154	3.8961	1,2,1,2,2,2,3,3,2,2,2,1
K?AEF@c}?vFo	12	23	17	36	900	104	8.6538	2,2,1,1,2,3,1,1,2,3,3,2
K??ED`LN`{^_	12	24	18	45	1125	126	8.9286	3,3,1,2,1,2,3,3,3,1,2,0
K??E@c}rVw^_	12	24	18	27	675	126	5.3571	1,2,1,2,1,2,3,3,3,3,1,2
K??E@f_FmY^_	12	25	21	39	975	100	9.7500	0,2,2,3,1,2,0,3,4,3,3,2
K??E@c}rVw^_	12	25	18	27	675	175	3.8571	2,1,1,3,1,2,3,3,3,3,1,2
K??ED`LN`{^_	12	25	21	39	975	100	9.7500	2,2,1,2,1,2,4,3,3,1,2,2
K?AEF@c}?vFo	12	24	19	44	1100	101	10.8911	3,1,1,0,3,3,1,1,3,3,3,2
K??FCo]XVw^_	12	20	12	27	675	100	6.7500	2,0,1,1,2,2,3,2,2,3,1,1
K??FFAWXG}^_	12	20	12	27	675	100	6.7500	2,0,1,2,1,2,2,1,2,3,2,2
K?AAF?^^BwVO	12	20	12	29	725	100	7.2500	2,2,1,0,1,2,2,2,2,1,2,3
K?AEF@c}?vFo	12	25	21	45	1125	100	11.2500	3,1,1,1,2,3,1,1,3,3,3,3
K??FCo]XVw^_	12	21	14	33	825	91	9.0659	2,0,2,0,2,2,3,3,3,3,0,1
K??FFAWXG}^_	12	21	14	33	825	91	9.0659	2,0,2,0,2,2,1,2,3,3,3,1
K?AAF?^^BwVO	12	21	15	24	600	66	9.0909	2,3,1,0,1,3,2,2,2,0,3,2
K?AEAJw^@uFo	12	20	13	25	625	75	8.3333	3,3,0,1,2,2,1,2,2,1,2,1
K??FCo]XVw^_	12	22	16	33	825	84	9.8214	2,0,2,0,2,2,3,3,3,3,1,1
K??FFAWXG}^_	12	22	16	33	825	84	9.8214	2,0,2,1,1,2,2,1,3,3,3,2
K?AAF?^^BwVO	12	22	16	33	825	84	9.8214	3,3,0,0,2,2,2,2,2,2,1,3
K?AEAJw^@uFo	12	21	15	24	600	66	9.0909	3,2,0,0,2,3,2,3,2,1,2,1
K??FCo]XVw^_	12	23	17	36	900	104	8.6538	3,1,1,0,3,2,3,3,3,3,0,1
K??FFAWXG}^_	12	23	17	36	900	104	8.6538	3,0,2,1,2,2,1,2,3,3,3,1
K?AAF?^^BwVO	12	23	17	36	900	104	8.6538	3,3,0,1,2,2,3,2,1,1,2,3
K?AEAJw^@uFo	12	22	16	33	825	84	9.8214	3,2,2,0,1,3,2,2,2,2,3,0
K??FCo]XVw^_	12	24	18	45	1125	126	8.9286	3,1,2,1,2,3,3,3,3,3,0,0
K??FFAWXG}^_	12	24	18	45	1125	126	8.9286	3,1,2,1,2,3,1,2,3,3,3,0
K?AAF?^^BwVO	12	24	19	41	1025	101	10.1485	3,3,1,0,2,3,2,2,2,3,0,3
K?AEAJw^@uFo	12	23	17	36	900	104	8.6538	3,1,0,1,2,3,3,3,2,2,3,0
K??FFAWXG}^_	12	25	21	39	975	100	9.7500	2,1,1,1,2,3,1,3,3,3,3,2
K?AAF?^^BwVO	12	25	21	39	975	100	9.7500	3,4,0,0,3,3,2,2,2,1,2,3
K??FCo]XVw^_	12	25	21	39	975	100	9.7500	3,0,2,1,2,2,3,3,3,4,1,1
K?AEAJw^@uFo	12	24	19	41	1025	101	10.1485	2,2,2,0,1,3,2,3,3,1,3,2
K?AEFBwFrwFo	12	20	12	19	475	100	4.7500	2,2,2,0,2,2,2,2,1,1,2,2
K?AAFBwFrwVO	12	20	13	29	725	75	9.6667	3,2,1,0,1,2,3,1,1,1,3,2
K?AEFBwFrwFo	12	21	14	16	400	91	4.3956	2,2,1,1,2,1,2,2,2,2,2,2
K?AEAJw^@uFo	12	25	21	39	975	100	9.7500	3,2,1,0,2,3,2,4,3,0,2,3
K?AA@BwNayRW	12	20	12	40	1000	100	10.0000	2,2,2,0,0,2,2,2,2,2,2,2
K?AEFBwFrwFo	12	22	16	24	600	84	7.1429	2,2,2,0,2,2,2,2,2,2,2,2
K?ABF@c}?}RS	12	20	13	25	625	75	8.3333	3,1,2,1,2,2,1,1,2,2,2,1
K?AAFBwFrwVO	12	21	14	34	850	91	9.3407	2,3,1,0,1,3,2,1,1,2,2,3
K?AEFBwFrwFo	12	23	16	24	600	129	4.6512	2,2,2,1,2,3,2,2,2,2,2,1
K?AEFBwFrwFo	12	24	18	26	650	126	5.1587	3,2,2,1,2,2,2,2,2,2,2,2
K?AA@BwNayRW	12	21	12	40	1000	141	7.0922	2,2,2,0,1,2,2,2,2,2,2,2
K?ABF@c}?}RS	12	21	15	24	600	66	9.0909	2,0,2,1,2,3,1,1,2,2,3,2
K?AAFBwFrwVO	12	22	16	32	800	84	9.5238	3,3,0,2,0,3,2,1,1,2,2,3
K?AEFBwFrwFo	12	25	19	28	700	150	4.6667	1,2,3,1,1,1,3,3,2,3,2,3
K?AEFo}^BwN_	12	20	12	19	475	100	4.7500	3,2,0,1,2,2,3,2,2,1,1,1
K?ABF@c}?}RS	12	22	16	32	800	84	9.5238	2,0,3,3,0,3,1,1,2,2,3,2
K?AAFBwFrwVO	12	23	17	37	925	104	8.8942	3,2,1,0,2,3,3,2,1,1,3,2
K?AA@BwNayRW	12	22	15	33	825	109	7.5688	3,2,2,0,1,3,2,1,3,2,1,2
K?AEFo}^BwN_	12	21	12	19	475	141	3.3688	3,2,0,2,2,2,3,2,2,1,1,1
K?ABF@c}?}RS	12	23	17	36	900	104	8.6538	1,0,3,2,1,2,0,3,3,3,3,2
K?AEFo}^BwN_	12	22	15	19	475	109	4.3578	3,2,2,1,0,2,3,3,3,0,0,3
K?AAFBwFrwVO	12	24	19	44	1100	101	10.8911	3,3,1,0,1,3,3,1,1,2,3,3
K?ABF@c}?}RS	12	24	19	41	1025	101	10.1485	2,1,2,3,0,3,1,2,3,2,3,2
K?AEFo}^BwN_	12	23	15	24	600	154	3.8961	3,2,0,1,2,2,3,3,3,1,2,1
K?AA@BwNayRW	12	23	17	36	900	104	8.6538	3,3,0,1,0,3,3,0,2,3,2,3
K?AEFo}^BwN_	12	24	18	27	675	126	5.3571	3,3,2,0,1,3,3,3,3,1,2,0
K?ABF@c}?}RS	12	25	21	39	975	100	9.7500	3,1,3,0,3,3,2,0,2,3,3,2
K?AAFBwFrwVO	12	25	21	45	1125	100	11.2500	3,3,1,1,0,3,3,1,1,3,3,3
K?AEFo}^BwN_	12	25	18	26	650	175	3.7143	3,2,0,0,2,2,3,4,4,3,1,1
K?AA@BwNayRW	12	24	18	47	1175	126	9.3254	3,3,0,0,0,3,3,2,2,2,3,3
K?ABCf_}BYBs	12	20	13	27	675	75	9.0000	2,0,1,1,2,1,2,2,2,2,2,3
K?ABBBwerwBw	12	20	12	27	675	100	6.7500	3,2,1,1,1,2,2,0,1,2,2,3
K?AAFbo^Ds@{	12	20	12	29	725	100	7.2500	2,2,1,0,1,2,2,0,2,3,3,2
K?ABCf_}BYBs	12	21	15	24	600	66	9.0909	2,1,1,3,0,3,1,2,1,2,2,3
K?ABBBwerwBw	12	21	14	33	825	91	9.0659	3,1,2,0,1,3,1,2,2,2,2,2
K?AAFbo^Ds@{	12	21	14	33	825	91	9.0659	3,3,0,0,2,2,2,1,1,3,3,1
K?ABCf_}BYBs	12	22	16	36	900	84	10.7143	2,0,2,2,2,2,2,2,2,2,2,2
K?ABBBwerwBw	12	22	16	33	825	84	9.8214	3,1,2,0,2,3,1,2,2,2,2,2
K?AA@BwNayRW	12	25	21	39	975	100	9.7500	3,0,3,1,1,3,0,4,3,3,2,2
K?ABBBwerwBw	12	23	18	33	825	79	10.4430	3,0,3,1,2,3,0,3,2,2,2,2
K?AAFbo^Ds@{	12	22	16	33	825	84	9.8214	2,2,0,2,0,3,3,1,1,3,3,2
K?ABCf_}BYBs	12	23	18	36	900	79	11.3924	2,0,2,2,2,2,2,2,2,2,2,3
K?ABBBwerwBw	12	24	18	45	1125	126	8.9286	3,2,1,0,0,3,3,0,3,3,3,3
K?AAFbo^Ds@{	12	23	17	36	900	104	8.6538	3,2,3,0,0,3,3,0,1,3,3,2
K?AA@bHBrwVO	12	20	12	40	1000	100	10.0000	2,2,0,2,0,2,2,2,2,2,2,2
K?ABCf_}BYBs	12	24	19	43	1075	101	10.6436	3,0,2,1,3,1,2,3,2,2,2,3
K?ABBBwerwBw	12	25	21	39	975	100	9.7500	3,1,2,0,2,3,2,2,3,2,3,2
K?AAFbo^Ds@{	12	24	19	41	1025	101	10.1485	3,3,0,1,2,3,2,0,2,3,3,2
K?AA@bHBrwVO	12	21	14	33	825	91	9.0659	0,3,1,2,1,0,3,3,2,2,2,2
K?ABCf_}BYBs	12	25	21	43	1075	100	10.7500	3,0,3,1,3,1,2,3,2,2,2,3
K?ABFAYFrwBw	12	20	12	27	675	100	6.7500	3,0,3,1,2,2,2,1,2,1,2,1
K?AFF?^^Fo^?	12	20	12	19	475	100	4.7500	3,0,2,1,2,2,1,2,2,3,1,1
K?AAFbo^Ds@{	12	25	21	39	975	100	9.7500	3,2,3,0,0,3,4,0,2,3,3,2
K?AFF?^^Fo^?	12	21	12	19	475	141	3.3688	3,1,1,0,3,2,0,3,2,3,2,1
K?AA@bHBrwVO	12	22	16	33	825	84	9.8214	3,0,2,1,2,3,0,3,2,2,2,2
K?ABFAYFrwBw	12	21	14	33	825	91	9.0659	3,2,1,0,2,2,2,2,3,0,3,1
K?AFF?^^Fo^?	12	22	15	19	475	109	4.3578	3,1,2,1,2,3,1,2,2,3,1,1
K?AEFrwNbw^?	12	20	12	19	475	100	4.7500	2,3,0,0,2,3,2,1,1,3,2,1
K?AFF?^^Fo^?	12	23	15	24	600	154	3.8961	2,1,2,1,2,4,1,2,3,2,2,1
K?AEFrwNbw^?	12	21	12	19	475	141	3.3688	2,3,0,0,2,3,2,1,2,3,2,1
K?ABFAYFrwBw	12	22	16	33	825	84	9.8214	3,1,2,0,2,2,2,2,3,1,3,1
K?AFF?^^Fo^?	12	24	18	27	675	126	5.3571	3,1,2,1,2,3,1,2,3,3,1,2
K?AEFrwNbw^?	12	22	15	19	475	109	4.3578	3,3,0,1,2,3,2,0,2,3,2,1
K?AA@bHBrwVO	12	23	16	40	1000	129	7.7519	3,2,1,2,0,2,1,3,3,1,2,3
K?ABFAYFrwBw	12	23	17	36	900	104	8.6538	3,3,0,0,2,3,2,3,3,0,3,1
K?AFF?^^Fo^?	12	25	18	27	675	175	3.8571	3,1,2,2,2,3,1,2,3,3,1,2
K?AEFrwNbw^?	12	23	15	24	600	154	3.8961	3,2,0,1,2,2,3,0,2,3,4,1
K?AF?~w}Bw^?	12	20	12	19	475	100	4.7500	2,1,2,0,2,3,2,3,1,1,2,1
K?AF?~w}Bw^?	12	21	12	19	475	141	3.3688	3,1,1,2,1,2,3,2,0,1,4,1
K?AEFrwNbw^?	12	24	18	27	675	126	5.3571	3,3,0,0,3,3,3,0,1,3,3,2
K?ABFAYFrwBw	12	24	18	45	1125	126	8.9286	3,1,2,1,2,3,3,3,3,0,3,0
K?AF?~w}Bw^?	12	22	15	19	475	109	4.3578	3,3,0,0,2,3,2,3,0,1,3,2
K?AEFrwNbw^?	12	25	18	27	675	175	3.8571	3,3,0,1,2,3,3,0,2,3,3,2
K?AA@bHBrwVO	12	24	17	48	1200	151	7.9470	2,2,1,2,0,2,2,3,3,3,2,2
K?AF?~w}Bw^?	12	23	15	24	600	154	3.8961	3,2,2,1,2,3,2,3,0,2,2,1
K?ABFAYFrwBw	12	25	21	39	975	100	9.7500	3,2,2,1,2,3,2,2,3,0,3,2
K?ABBBoerw@{	12	20	13	25	625	75	8.3333	2,0,2,1,1,2,1,2,3,2,3,1
K?AF?~w}Bw^?	12	24	18	27	675	126	5.3571	3,3,0,0,3,3,3,3,0,1,3,2
K?ABCvo{Bw@u	12	20	13	25	625	75	8.3333	2,2,0,1,1,3,2,3,1,2,2,1
K?ABBBoerw@{	12	21	14	33	825	91	9.0659	3,1,2,0,2,2,1,1,2,3,3,1
K?AA@bHBrwVO	12	25	19	51	1275	150	8.5000	3,1,0,3,1,3,2,3,3,3,1,2
K?AF?~w}Bw^?	12	25	18	27	675	175	3.8571	3,2,1,0,3,3,3,4,1,1,3,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=0,5,2,2,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=2,3,2,2,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,1,3,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,1,2,2,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,3,1,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,1,2,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,3,2,0,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,3,0,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,2,3,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,4,1,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,2,3,2,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,2,3,1,2,2
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,3,2,1,3,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,4,3,0,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,3,3,0,2,2
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,3,4,1,1,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,4,3,1,2,0
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,3,3,2,2,0
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=0,5,2,2,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,3,1,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=1,4,3,2,0,3,2,3,3,1,2,1
*** psi >= 1/25 : K?BEFo}}@{^? Q=25 bip=25 dist=0 w=0,5,3,2,0,3,2,3,3,1,2,1
K?ABCvo{Bw@u	12	21	15	24	600	66	9.0909	2,2,1,1,1,3,2,2,1,1,3,2
K?ABBBoerw@{	12	22	16	33	825	84	9.8214	3,2,1,0,2,2,0,2,2,3,3,2
K?AEDqwMbwGm	12	20	12	27	675	100	6.7500	2,2,1,0,2,3,3,1,1,1,2,2
K?AEDqwMbwGm	12	21	14	33	825	91	9.0659	3,2,0,1,2,2,3,0,2,2,3,1
K?ABBBoerw@{	12	23	17	36	900	104	8.6538	2,0,3,2,0,3,0,3,1,3,3,3
K?BD@j_QvoBs	12	20	13	29	725	75	9.6667	1,2,1,3,1,1,2,2,1,2,2,2
K?ABCvo{Bw@u	12	22	16	33	825	84	9.8214	3,0,3,0,2,2,2,3,1,1,3,2
K?AEDqwMbwGm	12	22	16	33	825	84	9.8214	3,2,0,2,1,2,3,1,1,2,3,2
K?BD@j_QvoBs	12	21	14	34	850	91	9.3407	2,0,2,1,3,2,0,3,2,2,2,2
K?ABCvo{Bw@u	12	23	17	36	900	104	8.6538	3,1,2,0,2,2,3,3,1,2,3,1
K?ABBBoerw@{	12	24	19	41	1025	101	10.1485	3,1,2,1,2,2,1,2,2,3,3,2
K?AEDqwMbwGm	12	23	18	33	825	79	10.4430	3,2,0,1,2,2,3,0,2,2,3,3
K?BD@j_QvoBs	12	22	16	38	950	84	11.3095	1,2,2,2,2,2,2,2,1,2,2,2
K?ABBBoerw@{	12	25	21	39	975	100	9.7500	3,1,1,3,0,3,2,2,2,3,3,2
K?ABCvo{Bw@u	12	24	19	41	1025	101	10.1485	2,1,2,2,1,3,3,3,0,2,3,2
K?ABFAYFrwN_	12	20	12	27	675	100	6.7500	3,2,0,1,1,1,3,2,2,2,1,2
K?AEDqwMbwGm	12	24	18	45	1125	126	8.9286	3,3,0,1,2,3,3,1,2,3,3,0
K?ABCvo{Bw@u	12	25	21	39	975	100	9.7500	2,0,3,2,0,3,3,4,1,1,3,3
K?BD@j_QvoBs	12	23	18	38	950	79	12.0253	1,2,2,2,2,2,2,2,1,2,3,2
K?AEDqwMbwGm	12	25	21	39	975	100	9.7500	3,2,0,1,2,2,3,1,2,3,4,2
K?ABFAYFrwN_	12	21	14	33	825	91	9.0659	3,1,2,0,2,2,2,2,3,1,2,1
K?AFCo]XVoN_	12	20	13	25	625	75	8.3333	3,2,0,2,1,1,2,2,2,3,1,1
K?BD@j_QvoBs	12	24	19	43	1075	101	10.6436	2,2,1,3,1,2,3,2,0,3,3,2
K?AEAJw^@uFW	12	20	12	27	675	100	6.7500	2,2,0,1,2,3,3,2,2,1,1,1
K?ABFAYFrwN_	12	22	16	33	825	84	9.8214	3,1,2,0,2,2,2,2,3,2,2,1
K?AFCo]XVoN_	12	21	14	33	825	91	9.0659	1,0,3,2,1,2,2,2,3,3,2,0
K?AEAJw^@uFW	12	21	14	33	825	91	9.0659	3,1,0,0,3,3,2,2,2,2,2,1
K?ABFAYFrwN_	12	23	17	36	900	104	8.6538	3,2,1,0,2,3,2,3,3,1,1,2
K?BD@j_QvoBs	12	25	21	47	1175	100	11.7500	1,2,2,2,2,2,2,3,1,2,3,3
K?AEAJw^@uFW	12	22	16	33	825	84	9.8214	3,2,0,1,2,3,2,2,2,2,2,1
K?AFCo]XVoN_	12	22	16	33	825	84	9.8214	2,2,1,1,2,2,3,3,2,2,0,2
K?ABFAYFrwN_	12	24	18	45	1125	126	8.9286	3,2,1,2,1,3,3,3,3,0,1,2
K?BD@xY}Fo^?	12	20	12	27	675	100	6.7500	1,2,2,1,2,3,3,2,2,0,1,1
K?AEAJw^@uFW	12	23	18	33	825	79	10.4430	3,3,0,1,2,3,2,2,2,2,2,1
K?AFCo]XVoN_	12	23	18	33	825	79	10.4430	2,2,1,1,2,3,3,3,2,2,0,2
K?AEAJw^@uFW	12	24	18	45	1125	126	8.9286	3,0,0,2,1,3,3,3,3,3,2,1
K?ABFAYFrwN_	12	25	21	39	975	100	9.7500	3,2,1,1,1,2,3,3,3,2,1,3
K?BD@xY}Fo^?	12	21	14	33	825	91	9.0659	2,2,2,0,2,3,3,3,3,0,0,1
K?BD@xY}Fo^?	12	22	16	33	825	84	9.8214	2,2,2,0,2,3,3,3,3,0,1,1
K?AEAJw^@uFW	12	25	21	39	975	100	9.7500	3,2,0,1,2,3,2,2,3,3,2,2
K?AFCo]XVoN_	12	24	19	41	1025	101	10.1485	2,0,3,2,1,2,3,2,3,3,2,1
K?ABCc]ZRw^?	12	20	13	29	725	75	9.6667	3,1,2,1,1,2,2,1,3,1,1,2
K?BD@xY}Fo^?	12	23	17	36	900	104	8.6538	2,2,3,2,1,3,3,3,3,0,1,0
K?ABFAYFvoN_	12	20	13	25	625	75	8.3333	2,1,2,1,2,3,2,1,2,1,1,2
K?ABCc]ZRw^?	12	21	14	34	850	91	9.3407	3,1,2,1,1,2,2,2,3,1,1,2
